questions,answers
Which organization led the protest against water privatisation in Bolivia ?  ,FEDECOR.
What was the main role of ‘FEDECOR’ organization in Bolivia? ,The protest against water privatisation in Bolivia was led by FEDECOR and it made the government concede to all the demands of the protesters.
"What was the main aim to start movement in April 2006, in Nepal ? ",To restore democracy in Nepal.
The ‘Third Wave’ country that had won democracy in 1990? ,Nepal.
"Who dissolved the popularly elected Parliament in February 2005, in Nepal ? ","King Gyanendra dissolved the popularly elected Parliament in February 2005, in Nepal."
Who was the ruler of Nepal when the movement for the restoration of democracy took place ?,King Gyanendra.
What does SPA stand for ?,Seven Party Alliance.
Which agency in Bolivia pressurised the government to give its control of municipal water supply?,World Bank.
To which continent Bolivia belongs ?,South America.
What was the result of Bolivia’s Water War ?,Cancellation of MNC contract and restoration of water supply to the municipality.
Which political party is a result of social reform movements ?,Asom Gana Parishad.
"Regarding the demands for democracy in Nepal, what was not demanded by the seven.... ? Seven Party Alliance demand ?",Absolute monarchy.
What action of MNC had agitated the people in Bolivia’s Water War ?,Enhancement of the price of water.
Which agency is not helpful in making the effective participation of the people at the time of conflicts and mobilisation ?,The Trade Unions.
Who was not involved in the protest against water privatisation in Bolivia ?,Political parties. 
