questions,answers
What attracts the Foreign investment ? ,Infrastructural facilities.
What is ‘Foreign Investment’? ,Investment made by the MNCs from foreign countries is called foreign investment.
Differentiate between investment and foreign investment ? ,"The money that is spend to buy assets (land, building, machines and other equipments) is called investment, while the investment made by the MNC’s is called foreign investment."
Why do MNCs set up their offices and factories in those regions where they get cheap labour and other resources ? 			 ,Because of :  Low cost of production.  They can earn greater profits.  1
"Amit is using his money to buy assets like house, commercial land and machines. Write what is he actually doing ? ",He is investing his money with a hope of earning profits from these assets.
Why had the Indian Government put barrier to foreign trade and foreign investment after independence ?  ,The protect the producers within the country from foreign competition.
Why did the Indian government remove barriers to a large extent on foreign trade and foreign investment ?,The Government felt competition would improve the performance of producers within the country. 1
What is meant by trade barrier ?,Tax on imports is known as trade barrier.
Investment made by MNCs is called :,Foreign investment.
What does the process of rapid integration of countries is called ?,Globalisation.
Which sector provides largest number of workers in India ?,Agriculture.
What is the full form of MNCs ?,Multi-National Companies.
Define Multinational Corporation.,A MultiNational Corporation is a company that owns or controls production in many nations.
What are the main features of Globalisation process ?,Investment and technology are moving between countries.
Why do Multinational Corporations are spreading their production activities in developing countries now-a-days ?,Because of low cost of production.
What is the most common route of Multinational Corporations to investment ?,The most common route for MNC investments is to buy up local companies and to expand production.
Give an example of a Multinational Company.,Tata Motors .
