,questions,answers
0,Q. 1. Simon Commission was greeted greeted with slogan ‘Go back Simon’ at arrival in India. Support this reaction of Indians with arguments. ,"Ans. Simon Commission :  The new Tory government in Britain constituted a Statutory Commission under Sir John Simon.  It was set up in response to the nationalist movement.  The commission was to look in to the functioning of the constitutional system in India and suggest changes.  The problem was that the commission didn‘t have a single Indian member.  When the Simon Sim on Commission arrived in India in 1928, it was greeted with the slogan ‘Go back Simon’.  All parties, including the Congress and the Muslim League, participated in the demonstrations.  1 × 3 = 3  1 mark each 3 marks each"
1,Q. 2. What was the objective of Simon Commission? Why was it opposed in India ? [Board Term-II (Set-207 ,Ans. Simon Commission was set up to look into the functioning of the Constitutional System in India and suggest changes. It was opposed because :  It had no Indian member.  They were all whites.  the ‘Dandi March’.
2,"Q. 3. Explain in brief the [Board Term–II,  JCJQ6VD) 2016] Describe the main features of the ‘Salt March’. ","Ans.  Mahatma Gandhi started his famous ‘Salt March’ or ‘Dandi March’ on 11th March, 1930 accompanied by 78 of his trusted volunteers.  The march was to cover 240 miles from Gandhi’s asharam in Sabarmati to the Gujarati Coastal town of Dandi.  On 6th April, 1930, he reached Dandi and ceremonially violated the law by manufacturing salt by boiling sea water.  This marked the beginning of Civil Disobedience  1 × 3 = 3 Movement. "
3,"Q. 4. How did the Salt March become an effective tool of resistance against colonialism ? Explain. [Board Term-II, Term-II, Outside Delhi Set-I, II, III, 2015] ","Ans. ‘Salt March’ became an effective tool of resistance against colonialism because :  Mahatma Gandhi found in salt a powerful symbol that could unite the nation.  Gandhiji sent a letter to Viceroy Irwin stating eleven demands. The most stirring of all was the demand to abolish the salt tax.  Salt was the most essential item of foods and was consumed by rich and poor alike.  Irwin was unwilling to negotiate, so Gandhiji started Salt march with 78 volunteers. (On 6th April) he reached Dandi, violated law and made salt. This March developed the feeling of nationalism, people in different parts of the country broke the salt law and manufactured salt and demonstrated in front of government salt factories.  3"
4,"Q. 4. How did the Salt March become an effective tool of resistance against colonialism ? Explain. [Board Term-II, Term-II, Outside Delhi Set-I, II, III, 2015] ",Ans. The Civil Disobedience Movement was different from the Non-Cooperation Movement : Non-Cooperation Movement :  The people were asked not to cooperate with the government.  Foreign goods were boycotted.  Liquor shops were picketed.  Foreign clothes were burnt in heape.  In many places merchants and traders refused to trade on foreign goods or finance foreign traders.  Students left the government owned schools and college.  Lawyers gave up legal practices. Civil Disobedience Movement :  People were asked to break colonial laws.  The countrymen broke the salt law.  Peasants refused to pay revenue and chaukidari tax.  Village officials resigned from their jobs.  Forest people violated forest rules and laws.  
5,"Q. 5. “The Civil Disobedience Movement was different from the Non-Cooperation Movement.” Support the statement with examples. [Board Term–II erm–II,, Delhi Set-I, II, III, 2016] How was the Civil Disobedience Movement different from the Non-Cooperation Movement ? State any three points of difference. ",Ans. The Civil Disobedience Movement was different from the Non-Cooperation Movement : Non-Cooperation Movement :  The people were asked not to cooperate with the government.  Foreign goods were boycotted.  Liquor shops were picketed.  Foreign clothes were burnt in heape.  In many places merchants and traders refused to trade on foreign goods or finance foreign traders.  Students left the government owned schools and college.  Lawyers gave up legal practices. Civil Disobedience Movement :  People were asked to break colonial laws.  The countrymen broke the salt law.  Peasants refused to pay revenue and chaukidari tax.  Village officials resigned from their jobs.  Forest people violated forest rules and laws.  
6,Q. 7. How did women participate in the Civil Disobedience Movement ? Explain. ,"Ans. Participation of women in the Civil Disobedience Movement :  Women in large number participated in the Civil Disobedience Movement.  During Salt March thousands of women came out of their homes to listen to Gandhiji.  They participated in protest marches, marches, manufactured salt.  They picketed foreign cloth and liquor shop s.  Many went to jail.  They began to see service to the nation as a sacred duty of women.  1 × 3 = 3 "
7,Q. 8. Why did political leaders differ sharply over over the question of separate electorates for Muslims  and the Dalits ?,"Ans.  Dalit began organizing themselves, demanding reserved seats in educational institutions, and a separate electorate. Dr B.R. Ambedkar, who organized the Dalits into the Depressed Classes Association in 1930, clashed with Mahatma Gandhi at the Second Round Table Conference by demanding separate electorates for Dalits.  Ambedkar ultimately accepted Gandhiji’s proposal and the result was the Poona Pact of September  After the decline of the Non-Cooperation-Khilafat Movement, large section of Muslims felt alienated from the Congress. Many Muslim leaders and intellectuals expressed their concern about the status of Muslims as a minority within India. They feared that the culture and identity of minorities would be submerged under the domination of Hindu majority."
8,Q. 9. Describe the main features of ‘Poona Pact‘. ,Ans. The main features of ‘Poona Pact’ Pact’ were :  The Poona Pact  gave Depressed Classes  reserved seats in provincial and central legislative councils.  They were to be voted in by the general electorate.  The Act came into force due to Gandhiji’s fast unto death.  Ambedkar ultimately accepted Gandhiji’s stand.  1 × 3 = 3 
9,Q. 10. Examine the events that led to the Civil Disobedience Movement. Why did the industrialists support this movement ? ,"Ans. The events that led to the Civil Disobedience Movement include :  Arrival of Simon Commission consisting of o f all British members, in 1928 and their report.  Successful peasant movement in Bardoli, Meerut and Lahore conspiracy cases in 1929.  Lahore session of Congress in 1929.  Nehru report in respect of Indian Constitution.  Demonstrators being brutally assaulted in antiSimon Commission agitation. Industrialists supported this movement because : During the First World War, Indian merchants and industrialists had made huge profits and became powerful. Keen on expanding their business, they now reacted against colonial policies that restricted business activities."
10,Q. 11. Explain the efforts made by Dr. B.R. Ambedkar for the political empowerment of the Dalits or Depressed Classes. ,"Ans.  Dr. B.R.Ambedkar organized the ‘Dalits’ into the Depressed Classes Association in 1930.  He clashed with Mahatma Gandhi at the Second Round Table Conference by demanding separate electorates for Dalits.  In 1932, he signed sig ned Poona Pact which gave the depressed classes reserved seats in the provincial and central legislative councils. "
