,questions,answers
0,Q. 1. Name the first novel novel in Malayalam. ,Ans. Indulekha  1
1,Q. 2. Who wrote Indulekha ?,Ans. Chandu Menon.
2,Q. 3. The novel ‘Indulekha’ was published in which year ?,Ans. 1889.
3,Q. 4. What was the title of the first modern novel published in Malayalam ?,Ans. Indulekha. was ‘Vaikkom Muhammad Basheer’ Basheer’ ?
4,Q. 5. Who was  1 mark each,Ans. Basheer had little formal education and based his works in his own rich personal experience rather than on books from the past. He would never sell his books himself which displays fortitude. He also took part in Salt Satyagrah. His stories and short novels were written in ordinary language of conversation.  1
5,Q. 6. In which language did Vaikkom Mohammad Basheer gained popularity as novelists ? ,Ans. Malayalam. “Kissa-goi” ?
6,"Q. 7. What is referred to as “Kissa-goi”  NOVELS, SOCIETY AND HISTORY",Ans. Kissa-goi is the traditional art of storytelling.  1 1956 describe
7,"Q. 8. Which novel written in Bengali in 1956 the community life of the fisher-folks in [Board Term-I, Term-I, Set-6AP67LB, 2015] detail ?",Ans. Titash Ekti Nadir Naam. 
8,Q. 9. Which major themes were taken up by the women in their novels ? ,Ans. Love and romance.
9,Q. 10. Name the first novel written by Bankim Chandra Chattopadhyay. ,Ans. Durgeshnandini.
10,Q. 11. Who was the author of the novel ‘Anandmatha’ ?,Ans. Bankim Chandra Chattopadhyaya.
11,"Q. 12. Which Hindi novel by Premchand does tell the story of Indian peasantry through the characters of Hori and his wife Dhania ? [Board Term-I, Term-I, , , 2014]",Ans. Godan.
