questions,answers
When and where was the first section of the underground railway opened in the world ? Explain any three difficulties of travelling in that underground railway. ,"10th January, 1863 from Paddington to Farrington Street in London. Difficulties :  The compartments were filled with smoke.  Atmosphere was a mixture mixture of sulphur, coal dust and foul fumes.  Suffocation led to Asphyxiation.  Detailed Answer : Refer Ans 3 ‘Long Answer Type’ : Points , ,  and . Underground Railways Railways eventually"
The London Underground became a huge success’. Support the statement with examples. ," By 1880, the expanded train service carried 40 million passengers a year.  Population in the city became dispersed.  New York, Tokyo, Chicago built underground railways by the 20 th century.  Planned suburbs and a good railway network enabled large numbers to live outside central London.  Social distinctions wore down. "
"Explain the social changes in London which led to the need for the Underground Railways. Why did underground railway soon become a necessity in London? Mention any three disadvantages of this system ?  Why was the underground railway criticized in London ? Explain the reasons.  “Even though the underground Railway eventually became a huge success, it was opposed by many people initially.” Explain five valid reasons for this  opposition.","Attempts were made to decongest the city of London and solve the housing crisis. So, the British government built houses for working classes. All these efforts expanded the city and people found it difficult to walk to their work places. This made the underground rail transport essential for London. Disadvantages : The development of the underground railways was criticized because.  The underground railways were considered co nsidered a menace to health due to the lack of oxygen created in the compartments by smoking pipes, fumes of gas lamps and coal dust.  A large number of houses for poor were were displaced for its construction.  It added to the mess and unhealthy environment of the city.  People were afraid to travel travel underground.  Many felt that ‘iron monsters’ added to the mass and unhealthiness of the city. WORK, LIFE AND LEISURE  To make approximately two miles of railways, 900 houses had to be destroyed.  5"
Why did the population of London city expand  over the 19 th century ? Explain.   The city of London had a powerful migrant population. Explain the reason. Why the population of London multiplied in the late 19th and early 20 th century ?,"The population of London multiplied four fold in the 70 years between 1810 and 1880 increasing from 1 million to 4 millions.  London was a powerful magnet for migrant population , even though it did not have large factories.  The 19th Century London was a city of clerks and shopkeepers of small traders and skilled artisans, semi-skilled and sweated out workers of soldiers and servants of casual workers, street sellers and beggars.  There was a dockyard dock yard which provided opportunities of livelihood.  There were five major types of industries employed large numbers; clothing and footwear, wood and furniture, metals and engineering, printing and stationery and precious products.  During First World War, War, the number of large large factories increased and a large number of people joined the newly created jobs. "
Explain any five sources of entertainment which came up in the 19th century in England to provide leisure activities.  Describe five forms of entertainment that came up in the 19th century England.  How did people of different classes organise their new found leisure in England ? Explain.  ," For the wealthy Londoners, there was the annual ‘London Season’ where elite groups could enjoy several cultural events such as the opera and theatre.  Working classes too had their own means of entertainment. They used to meet in pubs and enjoy a drink, exchange news and discuss political events.  The establishment of libraries, libraries, museums and art galleries provided entertainment to common people.  Music halls and later cinema houses became a source of mass entertainment.  Industrial workers workers spent holidays by the sea shore and enjoyed both sun and the wind which were a great source of entertainment. "
Ties between between members of households loosened in Britain in the era of industrialization. Explain the statement.  “The function and shape of the family were completely transformed by life in the industrial city”. Support the statement with examples. ,"In the 18th century, the family had been a unit of production and consumption as well as of political decision-making. There was a big change in the newer pattern.  Ties between members of household loosened.  The institution of marriage among the working working class tended to break down.  Women of the upper and middle classes in Britain, faced increasingly higher level of isolation although their lives were made easier by maids.  Women who worked worked for wages wages had some control over their lives particularly among the lower social classes.  By the 20th century, the urban family had been transformed again partly by experience of the war time and partly work done by the women who were employed in large numbers.  "
"Explain any five changes that that took place in the th family life in the 18 century, which promoted individualism in the city life.  Explain any five social changes that took place in the family life in the 18 th century in London. Explain the social changes, ‘Family’ as an institution underwent in Britain in the era of industrialization.","‘Family’ as an institution underwent a social change due to industrialisation.  The class Kant joint family in the village scenario disappeared in the town and cities. The bond between family members loosened.  Women lost their their jobs to to machines.  Rich upper class women lived easier easier lives as they were served by domestic maids who made their work easier.  Forced to live at home in urban areas, leading them to face isolation at home.  Public places were dominated by males and females were confined to the home.  Women gradually began began to participate participate in political movements to ask for their rights.  Families were small or nuclear.   "
How did marginal groups threaten the city of London ? What was the root cause of this problem ? How did the authorities in London try to solve this problem ? ," The police were worried about the law and order and industrialists wanted an orderly work force. There were professional criminals like cheats, tricksters, pick pockets and petty thieves too in the marginal groups.  Most of the people in the marginal groups were very poor, who lived by selling lead stolen from roofs, food from shops, lumps of coal and cloth drying from hedges.  In order to discipline them the authorities counted the number of criminals, watched their activities and investigated their lives. High penalties were imposed and deserving poor people were offered work.  2+"
Why did the concept of ‘Garden City’ City’ come up in London ? Describe the different efforts initiated to beautify London.  What steps were taken to clean London in the early and mid 20th century ? ," The widespread use of coal in homes and industries in 19th century England raised serious problems. Shopkeepers, home owners and others complained about the black fog, grey skies and black vegetation. All these factors caused bad temper, smoke related illness and dirty clothes. Congestion in the city also led to a yearning for the clean air.  As a result, the demand for new ‘lungs’ for the city was made. Large blocks of apartments were built and rent control was introduced to ease the housing problem.  ‘Garden City’ of New Earswick was was designed with common garden spaces and landscaping.  Between the two World Wars , the responsibility for housing the working classes was accepted by the British state and million houses, most of which were single family cottages, were built by local authorities.  The British Government built single family cottages for the working classes and the London underground work was started to enable the workers to reach their work places."
How did crime grow in London in 1870s ? How were authorities able to control them ?  Explain.,"Growth of Crime in London :  In London there were 20,000 criminals in 1870s.  In the mid 19th century, Henry Mathew wrote several articles on the London labour and those who made their living from crime.  Many criminals were poor, who lived by stealing stealing lead from roofs, food from shops, coal and also clothes. Control of Crime :  The police were worried about the law and order situation. So population of criminals were counted, their activities were watched and their ways of life were investigated.  In an attempt to discipline the criminals, authorities imposed high penalties for crime and offered work to those who were considered “deserving poor”. "
