questions,answers
Describe the impact of the print revolution in Europe during 15th and 16th century. ,"Impact of the print revolution in Europe during the 15th and 16th century :  Printing reduced the cost of books.  The time and labour required to produce each book came down, multiple copies could be produced with greater ease.  Books flooded the market, reaching reaching out to an ever growing readership.  Publishers started publishing popular ballads folk tales with beautiful pictures and illustrations.  Knowledge was transferred orally.  Print created the possibility of wide circulation of ideas and introduced a new world of debate and discussion.  Even those who disagreed with established authorities, could now print and circulate their ideas. e.g., Martin Luther was a German monk, priest, professor and church reformer. He challenged the Church to debate his i deas.  This led to division within the Church and the beginning of the Protestant Reformation.  Print and popular religious literature stimulated many distinctive individual interpretations of faith even among little-educated working people.  In the sixteenth century, Menocchio, a miller in Italy, reinterpreted the message of the Bible and formulated a view of God and Creation that enraged the Roman Catholic Church.  "
How did print introduce a new world of debate and discussion ? What were its implications in sphere of religion ? Explain.  How did print create the possibility of wide circulation of ideas and discussion.  ," Print created the possibility of wide circulation of ideas leading to debate and discussion. Those who disagreed with established authorities could now print and circulate their own views.  Through printed messages, they they could persuade people to think differently and move them into action.  Implications on the sphere of religion. The religious reformer, Martin Luther, wrote Ninety Five Theses criticizing many practices of Roman Catholic Church. A printed copy of this was posted on a church door. This led to a division within the church and marketd the beginning of the Protestant Reformation.  1½+1½+2=5"
How did print introduce a new world of debate and discussion ? What were its implications in sphere of religion ? Explain.  How did print create the possibility of wide circulation of ideas and discussion.  ," Print created the possibility of wide circulation of ideas leading to debate and discussion. Those who disagreed with established authorities could now print and circulate their own views.  Through printed messages, they they could persuade people to think differently and move them into action.  Implications on the sphere of religion. The religious reformer, Martin Luther, wrote Ninety Five Theses criticizing many practices of Roman Catholic Church. A printed copy of this was posted on a church door. This led to a division within the church and marketd the beginning of the Protestant Reformation.  1½+1½+2=5"
What difference difference did printing technology make in the lives of women and children in the 19th century ? Explain. ,"Impact on Women :  Women became important readers and writers. Penny magazines, especially meant for women, contained guidelines on proper behaviour and housekeeping.  Novel began to be written in the 19th century and some of the best novelists were women like Jane Austen, Bronte sisters, George Eliot, etc.  Their writing created a new image of women with will, strength of personality, determination and power to think. Impact on Children :  Primary education became became compulsory from the late 19th century.  School textbooks, rural folk tales in edited versions, fairy tales and new stories were published for children.  Grimm brothers of Germany spent years to collect traditional folk tales from peasants and France and set up a children’s press in 1857.  "
Explain with examples how print culture catered to the requirement of Children. ," Primary education became compulsory from the late nineteenth century, children became an important category of readers. Production of school textbooks became critical for the publishing industry.  A children’s press devoted to literature for children alone, was set up in France in 1857.  This press published new works as well as old fairy tales and folk tales.  The Grimm brothers in Germany Germany spent years in compiling traditional folk tales gathered from peasants. What they collected was edited before the stories were published in a collection in 1812.  Anything that was considered unsuitable for children or would appear vulgar to the elites, was not included in the published version. Rural folk tales thus acquired a new form. In this way, print recorded old tales but also changed them. "
Describe any five uses of print culture in the 17th century China. ," By the 17 th century, as urban culture bloomed in China, the uses of print diversified.  Print was no longer used just by scholar-officials.  Merchants used print in their everyday life, as they collected trade information. preferred fictional narratives, narratives,  The new readership preferred poetry, autobiographies, anthologies of literary masterpieces and romantic plays.  Rich women began to read and many women began publishing their poetry and plays.  Wives of scholar-officials published their works and courtsmen wrote about their lives.  "
How far is it right right to say that the print culture was responsible for the French Revolution.  Why did some historians feel that printing technology created the basis for French  Revolution ?," Print popularized the ideas of enlightened thinkers on traditions, superstitions and despotism.  They advocated reasons.  People read books of Voltaire and Rousseau. Print created dialogue and debate.  People started discussion and evaluated the royalty.  Print literature literature mocked the royalty.  These kind of print literature circulated underground and it created awareness among people and formed the basis of French Revolution.  "
Explain five effects of print revolution. ,   Impact of print revolution revolution : New reading public was emerged. The hearing people became reading people. Religious debates due to fear of prints led to distinctive interpretation of faith.  Printing transformed the lives of the people.  It opened new ways of looking at things.  Print culture also affected affected the life of poor people and women in many ways. The print gave birth to new form of popular literature. Very small books were brought out. They were sold across roads. The poor people brought these books and read with great interest. Books were cheap so that the poor people could also afford them.  Women’s reading increased enormously in middle class homes. Liberal husbands and fathers began educating their women folk at home and send them to schools. Women schools were also  set up.  
Describe any five strategies developed by the printers and publishers in the 19th century to sell their products. ,"Some of the important strategies adopted by the printers and publishers to sell books are :  They brought out serialized novels. The first serialized novel was shilling series. It was a cheap series that was very popular and was sold in England in 1920’s.  The advertisers put up advertisements advertisements at strategic strategic public locations such as building, railway station, etc. to attract buyers and improve sales.  The dust cover or the book jacket is the 20 th century innovation.  One of the great innovations was the introduction of cheap paper back books in the 1930’s, in during the Great Depression in order to keep the steady sale of books at the time of recessions. Cheap paper back editions were brought to counter the effect of the Great Depression in the 1930’s.  The shilling series was also considered an  important innovation at this time.  "
What were the three difficulties in copying manuscripts ? What was the use of printing press? Describe. ,"   Difficulties in copying copying manuscripts were : Copying manuscript was an expensive business. It was laborious and time-consuming. Manuscripts themselves were fragile, awkward to handle and could not be easily carried around or read easily. Use of printing press :  It enable people to produce books at greater speed.  The production of books in large number created a new culture of reading and enlarged the number of readers. "
How did the scientists and philosophers in the 18th century Europe find it easier to reach out to people ? Explain. ," Periodicals, journals and newspapers in the early 18th century combined information from various fields.  That’s how the ideas of scientists and philosophers became more accessible to the common people.  Ancient and medieval scientific texts were compiled and published, maps and scientific diagrams were printed.  Scientists such as Issac Newton could influence a large number of people in scientific area, by publishing their discoveries.  Thinkers such as Thomas Paine, Voltaire and Jean Jacques Rousseau were also widely read.  Ideas about science reason and rationality found its way into popular literature.   "
