questions,answers
Describe any three steps taken by French revolutionaries to create a sense of collective identity among the French people ? ,"Refer to of Q. 1, HOTS Ques.  1 × 3 = 3"
Describe the event of French Revolution Revolution which had influenced the people belonging to other parts of Europe. ,"The events of French Revolution which had influenced the people belonging to other parts of Europe : Students and other members of educated middle class began to Set-up Jacobin clubs. Their activities and campaigns prepared the way for the French armies. The French armies began to carry the idea of nationalism abroad. Thus, created a sense of collective identity."
List any three three features of the Civil Civil Code of 1804 usually known as the Napoleonic Code. , It did away with all privileges based on birth.  It established equality before law and secured the right to property.  It simplified administrative divisions and abolished feudal system.  people in the areas conquered conquered
How did the local people by the Napoleon react to French French rule ? Explain. ," Peasants, artisans, workers and businessmen enjoyed this newly found freedom.  They realised that Uniform laws and standardised weights and measures and a common national currency would be more helpful in trade as it would facilitate the movement and exchange of goods and capital from one region to another.  Increase in taxes, censorship and forced conscription in French armies were seen as outweighing the advantage of administrative changes which Napoleon brought."
Why was the Napoleonic rule over other regions unpopular with some sections of Europe ? ,Reasons Reasons of unpopular Napoleonic rule over other regions were :  Administrative reforms did not go hand-in-hand with political freedom. The newly annexed regions found themselves under the French rule.  The newly acquired territories had to face increased taxation and censorship.  The forced conscription into French army to conquer other parts of Europe was not popular with the newly conquered people.  
"How was the ideology of liberalism liberalism allied with National Unity in early 19 th century in Europe? Explain in three points. [Board Term-II, (Set-68 ",The ideology of liberalism allied with Nationalism in the following ways :  Liberalism stood for freedom for the individual and equality of all before law.  It emphasized on the concept of government by consent.  It stood for the end of autocracy and clerical privileges.  It believed in a constitution and representative government through Parliament.  It emphasized the inviolability of private property.  1 × 3 = 3 
“A wave of economic nationalism strengthened strengthened the wider nationalist sentiments growing in Europe.” Which class brought about this change ? How did they bring about this change? Explain with two reasons. ,The change was brought about by the new middle class.  They brought about the change in two ways :  Formation of Zollverein.  Tariff barriers were abolished.  Reduced the number of currencies from over thirty to two.  Creation of railways helped them in mobility and harnessing economic interests.  1 + 2 = 3
How did the Treaty Treaty of Vienna change the map of Europe?  How did conservatives establish their power after 1815?," The The conservatives believed in modern army, an efficient bureaucracy and a dynamic economy.  In 1815, the European powers-Britain, Russia, Prussia and Austria defeated Napoleon at Vienna to draw-up settlement of Europe.  The conference was hosted by Austrian ChancellorDuke Metternich.  The Treaty of Vienna of 1815 was signed to undo most changes that came about during Napoleonic war.  The deposed Bourbon Dynasty was restored to power.  France lost its territories, annexed under Napoleon.  To prevent further expansion of French territories, series of states were Set-upon boundaries.  Kingdom of Netherlands including Belgium was set-up in north.  Genoa was added to Piedmont in south.  Prussia was given new territories in western frontiers.  Austria was given the control of no rthern Italy.  The Eastern Russia was given a part of Saxony.  39 states of German Confederation were left  3 untouched."
"Explain any three provisions provisions of the Treaty of Vienna of 1815.  What was the impact of Treaty of Vienna  on European people ? Write any three points. [Board Term-II, (Set-680 ","Provisions Provisions of Treaty of Vienna :  Bourbon dynasty was restored to power in France.  France lost the territories it had annexed under Napoleon.  The kingdom of Netherlands was Set-up in North and Genoa was added to Piedmont in the South.  Prussia was given new territories on its Western frontier.  Austria was given control of Northern Italy.  Russia was given part of Poland and Prussia was  1 × 3 = 3 given a part of Saxony.  after 1848, the autocrats of"
Why in the years after central and Eastern Europe began to introduce the changes that had already taken place in Western Europe before 1815 ? Explain. ," Though conservative forces were able to suppress liberal movements in 1848, they could not restore the old order. Monarchs were beginning to realise that the cycles of revolution and repression could only be ended by granting concessions to the liberal-nationalist revolutionaries.  Hence, in the years after 1848, the autocratic monarchies of Central and Eastern Europe began to introduce the changes that had already taken place in Western Europe before 1815.  Thus, serfdom and bonded labour were abolished both in the Habsburg dominations and in Russia. The Habsburg rulers granted more autonomy to the Hungarians in 1867. "
Explain any three changes which Napoleon introduced to make the administrative system more efficient in Europe.  What changes were brought due to Napoleon’s reforms and code? What were the reactions to these changes? What changes did Napoleon introduce to make the administrative system more efficient in the  territories ruled by him ?,"Napoleon introduced following changes to make the administrative system more efficient in Europe :  The Civil Code of 1804, known as Napoleonic Code, did away with all the privileges based on birth.  Administration became more efficient. Napoleon introduced revolutionary principles in administration making it more efficient and rational.  Secured the Right to property.  Simplified administrative divisions.  Abolished feudal system.  Freed peasants from serfdom and dues.  In the towns too, guild restrictions were removed.  Transport and communication improved.  Peasants, artisans, workers and new businessmen enjoyed new-found freedom uniform laws, standardized weights and the measures facilitated the movement of goods and capital from one region to another. Reactions to these changes : Businessmen and small scale producers of goods in particular began to realise.  reasons for the nationalist"
"Explain any three reasons upsurge in the 19th century Europe. [Board Term II, (Set-12/  B1) 2011]","Reasons for the Nationalist upsurge in the 19 th century Europe :  Oppression of people under absolute rulers.  Liberal ideas spread by well-known philosophers and leaders.  The French Revolution inspired the people to fight for freedom. The slogan ‘Liberty, Equality and Fraternity’ became the clarion call for the common people.  With the outbreak of revolutionary wars, the French army and its soldiers began to carry the ideas of nationalism abroad.  1 × 3 = 3 "
What was the status of France France as a state before 1789? Which two political and constitutional changes came in the wake of the French Revolution? ,"France was a full-fledged territorial state in 1789 under the rule of an absolute mon arch.  French Revolution led to the transfer of sovereignty from the monarchy to a body of French citizens.  The revolution proclaimed that it was the people who would henceforth constitute the nation and shape its destiny. So, the French revolutionaries introduced various measures and practices that could create a sense of collective identity amongst the French people."
