questions,answers
What do you mean by ‘Literacy Rate’ ?,It measures the proportion of literate population in the 7 years and above age group.
"In which state, literacy rate is the highest ?",Kerala.
Why Kerala has low infant mortality rate ?,It has adequate provision of basic health and educational facilities.
What is denoted by the life expectancy at birth ?,Ave Average rage expected length of life.
What is the full form of HDI ?  ,Human De Development velopment Index. Index.  1
Write the components of Human Development Index ?,"Life expectancy, gross enrolment ratio and per capita income."
What is India’s HDI rank in the world?,126.
How we will calculate Body Mass Ind ex ?,Dividing the weight by the square of the height in meters.
Which state of India has a high infant mortality rate according to data 2003 ?,Bihar.
Which country has the largest size of illiterate population in the age group of 15 + in the world ?,Bangladesh.
What other goal is included in the developmental goals besides having better  income ?,"Equal treatment, freedom, education, security and peace."
Which is a development goal for the landless rural labourers ?,More days of work and better wages.
How can we achieve the development goals of different sections of our society ?,By democratic political process.
"Why do some people oppose dams ? Give one [Board Termerm-I, I, R9UJGYG), 2014] reason.",Because this disrupt the lives of people who are displaced.
