questions,answers
What are the main activities of the people of village of Palampur?,"Farming is the main activity, whereas several other activities such as small scale manufacturing, dairy, transport, etc. are carried out on a limited scale."
What type of sources are needed by these production activities?,"Natural resources, man-made items, human effort and money, etc., are the sources needed by production activities."
What kind of transportation is used for connecting Palampur to these neighbouring villages and towns?,"Bullock carts, tongas, wooden carts, motorcycles, jeeps, tractors and trucks."
How many families live in Palampur?,About 450 families belonging to several different castes live in Palampur.
What was the benefit of electricity in Palampur?,Most of the houses have electric connections. Electricity powers all the tubewells in the fields and is also used in various types of small businesses.
What is the first and foremost requirement for the production of goods and services?,"The foremost requirement is land and other natural resources such as water, forests, minerals, etc."
What is called ‘Working Capital?,Production requires a variety of raw materials and some money during production to make payments and buy other necessary items. These are included in the ‘Working Capital’.
What does ‘Human Capital’ mean? ,"We need knowledge and enterprise to be able to put together land, labour and physical capital and produce an output either to use yourself or to sell in the market. This is called ‘Human Capital.’"
Which are the four main factors of production?,"Land, labour, physical capital and human capital."
What was the main reason behind the growth of three different crops in a year in Palampur?,The main reason was the well-developed system of irrigation.
What does ‘multiple cropping’ mean?,To grow more than one crop on a piece of land during the year is known as multiple cropping.
What is the benefit of multiple cropping?,It is the most common way of increasing production on a given piece of land.
How did Green Revolution benefit the Indian farmer?,The Green Revolution in late 1960s introduced the Indian farmer to high yielding variety of seeds to produce much greater amount of grain on a single plant.
How was land resource affected by modern farming methods?,"Land being a natural resource, it is necessary to be very careful in its use. Scientific reports indicate that the modern farming methods have overused the natural resource base."
How do farm labourers get wages in Palampur?,"Wages can be in cash or kind (crop). Sometimes labourers get meals also. Wages vary widely from crop to crop, from one farm activity to another."
How small farmers manage the capital needed for farming?,Small farmers have to borrow money to arrange for the capital.
What is the basic difference between two factors of production–land and capital?,"Land is a natural resource whereas money is man-made. It is possible to increase capital, whereas land is fixed."
Name the non-farm activities of Palampur? ,"Dairy farming, small scale manufacturing, trade, shopkeeping and providing transport services."
How is dairy farming practiced in Palampur?,"Many families sell the milk of their buffaloes, in nearby village Raiganj. Traders of Shahpur town have set up collection cum chilling centres at Raiganj from where the milk is transported to far away towns and cities."
What kind of manufacturing units are set up in Palampur?,Manufacturing in Palampur involves very simple production methods and are done on a small scale. They are carried out mostly at home or in the fields with the help of family labou  
