question,answer,context
What is stress?  [CBSE (AI) 2012] ,"Stress is described as the pattern of responses an organism makes to stimulus event that disturbs the equilibrium and exceeds a person’s ability to cope. Stressors like noise, crowding, a bad relationship, daily commuting to school or office are events that cause our body to give the stress response.","Q. 5. Explain the concept of stress giving examples from daily life. [CBSE Delhi 2011] Ans. Stress is described as the pattern of responses an organism makes to stimulus event that disturbs the equilibrium and exceeds a person’s ability to cope. Stressors like noise, crowding, a bad relationship, daily commuting to school or office are events that cause our body to give the stress response. Happenings in our daily lives such as noisy surroundings, commuting, quarrelsome neighbours, electricity and water shortage, traffic snarls cause stress. Attending to various emergencies are daily hassles experienced by a housewife. Q. 6. What are the effects of stress on the psychological functioning of an individual? [CBSE (AI) 2012] Ans. The effects of stress are described as follows: i.
 Q. 1. What is stress?
 [CBSE (AI) 2012]
 Ans. Stress is described as the pattern of responses an organism makes to stimulus event that disturbs the equilibrium and exceeds a person’s ability to cope. Stressors like noise, crowding, a bad relationship, daily commuting to school or office are events that cause our body to give the stress response. Q. 2. What do you mean by well-being? Ans. Well-being means to have positive health. Health is a state of complete physical, mental, social and spiritual well-being, and not merely the absence of disease. Q. 3. Identify any two human strengths which have been found by positive psychologists. Ans. i. ii.
 "
What do you mean by well-being?,"Well-being means to have positive health. Health is a state of complete physical, mental, social and spiritual well-being, and not merely the absence of disease.","Ans. Stress is described as the pattern of responses an organism makes to stimulus event that disturbs the equilibrium and exceeds a person’s ability to cope. Stressors like noise, crowding, a bad relationship, daily commuting to school or office are events that cause our body to give the stress response. Q. 2. What do you mean by well-being? Ans. Well-being means to have positive health. Health is a state of complete physical, mental, social and spiritual well-being, and not merely the absence of disease. Q. 3. Identify any two human strengths which have been found by positive psychologists. Ans. i. ii.
 "
Identify any two human strengths which have been found by positive psychologists.,"i. ii.  Curiosity/Interest in the world: An openness to experience, flexibility about things that don’t fit your preconceptions. Love of Learning: Taking pleasure in learning new things, taking every opportunity to expand your knowledge and expertise. ","Curiosity/Interest in the world: An openness to experience, flexibility about things that don’t fit your preconceptions. Love of Learning: Taking pleasure in learning new things, taking every opportunity to expand your knowledge and expertise.
 Be aware of people’s reactions, emotions, and motivations. Ask questions that can be answered while observing. Be yourself, give information about yourself, if asked. Observe with an optimistic curiosity. Being ethical, respect privacy, take care not to disclose any information to any one.
 Q. 4. Describe Naturalistic and Participant Observation.
 "
Give the causes of environmental stress.,"Environmental stresses are caused by air pollution, crowding, noise, heat of the summer, winter cold or disasters such as fire, earthquake, floods etc.","Q. 4. Give the causes of environmental stress. Ans. Environmental stresses are caused by air pollution, crowding, noise, heat of the summer, winter cold or disasters such as fire, earthquake, floods etc. Q. 5. Explain the term ‘frustration’.
 "
Explain the term ‘frustration’.   ,"Frustration results from blocking of needs and motives while achieving a desired goal. Causes of frustration are social discrimination, interpersonal hurt or low grades in school.","Ans. Frustration results from blocking of needs and motives while achieving a desired goal. Causes of frustration are social discrimination, interpersonal hurt or low grades in school. Q. 6. Explain the term ‘conflict’.
 "
Explain the term ‘conflict’.  [CBSE (AI) 2016] ,"Conflicts occur between two or more incompatible needs or motives, e.g. whether to learn dance or study psychology.","Ans. Frustration results from blocking of needs and motives while achieving a desired goal. Causes of frustration are social discrimination, interpersonal hurt or low grades in school. Q. 6. Explain the term ‘conflict’.
 [CBSE (AI) 2016]
 Ans. Conflicts occur between two or more incompatible needs or motives, e.g. whether to learn dance or study psychology. Q. 7. What do you mean by ‘burnout’? 2011]
 Ans. Conflicts occur between two or more incompatible needs or motives, e.g. whether to learn dance or study psychology. Q. 7. What do you mean by ‘burnout’? 2011]
 "
What do you mean by ‘burnout’? 2011]  [CBSE Delhi ,"The state of physical, emotional and psychological exhaustion is known as burnout. ","Ans. Conflicts occur between two or more incompatible needs or motives, e.g. whether to learn dance or study psychology. Q. 7. What do you mean by ‘burnout’? 2011]
 [CBSE Delhi
 Ans. The state of physical, emotional and psychological exhaustion is known as burnout.
 Ans. The state of physical, emotional and psychological exhaustion is known as burnout.
 "
What is psycho-neuro-immunology?,"Psycho-neuro-immunology focuses on the links between mind, brain and the immune system. It studies the effects of stress on the immune system.","Q. 8. Describe the effect of stress on the immune system.
 [CBSE Delhi 2015]
 Ans. Release of stress hormone results in weakening of our immune system thus affecting mental and physical health. Weakened immune system has a serious effect on the individuals’ health. Stress has physiological effects and can affect natural killer cell cytotoxicity, which is of major importance in the defence against various infections and cancer. Reduced levels of natural killer cell cytotoxicity have been found in people who are highly stressed, including students facing important examinations, bereaved persons and those who are severely depressed. Psychological stress is accompanied by negative emotions or burnout situation and associated symptoms such as depression, anxiety, irritability and aggression. Individuals may have panic attacks or show obsessive behaviours, mood swings or phobias. These individuals have feelings of hopelessness which is worsened by injury or disease. Studies reveal that immune functioning is better in individuals receiving social support. Emotions such as fear, anger or hostility are associated with anger outbursts, tantrums, withdrawal symptoms and feelings of hopelessness thus leading to weakening of the immune system thus affecting mental and physical health.
 Q. 8. What is psycho-neuro-immunology? Ans. Psycho-neuro-immunology focuses on the links between mind, brain and the immune system. It studies the effects of stress on the immune system. Q. 9. What is fight or flight response? Ans. i. ii.
 "
What is fight or flight response?,"i. ii.  Selye observed that animals exposed to stressors show a similar pattern of bodily response. He called this pattern General Adaptation Syndrome (GAS). The fight or flight response, also called as ‘acute stress response’ refers to a physiological reaction that occurs in the presence of something that is terrifying, either mentally or physically. The response is triggered by the release of hormones that prepare the body to deal with a threat or to run away to safety. The term ‘fight or flight’ represents the choices. ","Selye observed that animals exposed to stressors show a similar pattern of bodily response. He called this pattern General Adaptation Syndrome (GAS). The fight or flight response, also called as ‘acute stress response’ refers to a physiological reaction that occurs in the presence of something that is terrifying, either mentally or physically. The response is triggered by the release of hormones that prepare the body to deal with a threat or to run away to safety. The term ‘fight or flight’ represents the choices.
 Ans. Nature of Stress: The term ‘stress’ has been originated from the Latin word Strictus, meaning tight or narrow. Stress is described as the pattern of responses an organism makes to stimulus event that disturbs the equilibrium and exceeds a person’s ability to cope. Stressors like noise, crowding, a bad relationship, daily commuting to school or office are events that cause our body to give the stress response. Eustress describes the level of stress that is good and positive and is one of a person’s best assets for achieving peak performance and managing minor crisis. Distress is the manifestation of stress that causes our body’s wear and tear. It produces unpleasant effects, hampers our productivity, emotionally upsets us and causes our performance to deteriorate. Stress is often explained in terms of characteristics of the environment that are disruptive to the individual. Stressors are events that cause our body to give the stress response. Such events include noise, crowding, a bad relationship, or the daily commuting to school or office. The reaction to external stressors is called ‘strain’. OR Lazarus has distinguished between two types of appraisal, i.e. primary and secondary. The perception of stress is dependent upon the individual’s cognitive appraisal which is of two types, primary and secondary. Primary appraisal refers to the perception of a new or changing environment as positive, neutral or negative in its consequences. Negative events are appraised for their possible harm, threat or challenge. Harm is the assessment of the damage that has already been done by the event. Threat is the assessment of the possible future damage that may be brought about by the event. Challenge is associated with expectations of the ability to cope with the stressful event. Secondary appraisal is the assessment of one’s coping abilities and resources and whether they will be sufficient to meet the harm, threat or challenge of the event.
 Selye observed that animals exposed to stressors show a similar pattern of bodily response. He called this pattern General Adaptation Syndrome (GAS). According tohim GAS involves three stages Alarm reaction, Resistance Stage and Exhaustion stage. Coping is a dynamic situation-specific reaction to stress. E.g. watching TV, phone up a friend or try to be with other people. Avoidance-oriented strategy: This involves denying or minimizing the seriousness of the situation. It involves conscious suppression of stressful thoughts and their replacement by self-protective thoughts. Examples of this are watching TV, phone up a friend or try to be with other people. Q. 2. Distinguish between eustress and distress giving suitable examples. Discuss the different sources of psychological stress. [CBSE (AI) 2015] OR What are the sources of stress? 2014]
 "
What is coping?  [CBSE (AI) 2011] ,"Coping is a dynamic situation-specific reaction to stress. E.g., watching TV, phone up a friend or try to be with other people.","Q. 10. What is coping?
 [CBSE (AI) 2011]
 Ans. Coping is a dynamic situation-specific reaction to stress. E.g., watching TV, phone up a friend or try to be with other people. Q. 11. What is task-oriented coping? Ans. Task-oriented coping involves using alternate courses of action for coping. For example, scheduling your time better or using better methods to solve problems. Q. 12. Explain emotion-oriented coping strategy. [CBSE (AI) 2013] Ans. Emotion-oriented Strategy involves venting feelings of anger and frustration or deciding that nothing can be done to change things. For example, to stop worrying. Q. 13. Discuss avoidance-oriented strategy of coping. [CBSE Delhi 2015] Ans. Avoidance-oriented strategy involves denying or minimizing the seriousness of the situation. It involves conscious suppression of stressful thoughts and their replacement by self-protective thoughts. Examples of this are watching TV, phone up a friend or try to be with other people. Q. 14. Explain biofeedback. [CBSE Delhi 2014] Ans. Biofeedback is a type of Stress Management Techniques which involves three stages: developing an awareness of the particular physiological response, e.g. heart rate, learning ways of controlling that physiological response in quiet conditions; and transferring that control into the conditions of everyday life.
 "
