question,answer,context
Examine the elements of the third period and classify them as metals or non-metals. Comment on the metallic and non-metallic character of the third period. Name the most metallic element and non-metallic element of this period.,"Na (Sodium), Mg (Magnesium) and Al(Aluminium) are metals. Si (Silicon) is a metalloid. P (Phosphorus), S (Sulphur) and Cl (Chlorine) are non-metals. As we go from left to right across the third period, metallic character decreases and non-metallic character increases. The most metallic element in the third period is Na and the most non-metallic element is Cl.","Examine elements of the third period and classify them as metals and non-metals. On which side of the Periodic Table do you find the metals? On which side of the Periodic Table do you find the non-metals?
 As we can see, the metals like Na and Mg are towards the left-hand side of the Periodic Table while the non-metals like sulphur and chlorine are found on the right-hand side. In the middle, we have silicon, which is classified as a semi-metal or metalloid because it exhibits some properties of both metals and non-metals. In the Modern Periodic Table, a zig-zag line separates metals from non-metals. The borderline elements – boron, silicon, germanium, arsenic, antimony, tellurium and polonium – are intermediate in properties and are called metalloids or semi-metals. As you have seen in Chapter 3, metals tend to lose electrons while forming bonds, that is, they are electropositive in nature.
 "
"Which element has : (i) two shells, both of which are completely filled with electrons ? (ii) the electronic configuration, 2, 8, 2. (iii) a total of three shells, with four electrons in its valence shell ? (iv) a total of two shells, with three electrons in its valence shell ? (v) Twice as many electrons in its second shell as in its first shell ? ","(i) Neon has two shells, both of which are completely filled with electrons (2 electrons in K shell and 8 electrons in L shell). (ii) Magnesium has the electronic configuration, 2, 8, (iii) Silicon has a total of three shells, with four electrons in its valence shell (2 electrons in K shell, 8 electrons in L shell and 4 electrons in M shell). (iv) Boron has a total of two shells, with three electrons in its valence shell (2 electrons in K shell and 3 electrons in L shell). (v) Carbon has twice as many electrons in its second shell as in its first shell (2 electrons in K shell and 4 electrons in L shell).","If you look at the Modern Periodic Table (5.6), you will find that the elements Li, Be, B, C, N, O, F, and Ne are present in the second period. Write down their electronic configurations. Do these elements also contain the same number of valence electrons? Do they contain the same number of shells?
 You will find that these elements of second period do not have the same number of valence electrons, but they contain the same number of shells. You also observe that the number of valence shell electrons increases by one unit, as the atomic number increases by one unit on moving from left to right in a period. Or we can say that atoms of different elements with the same number of occupied shells are placed in the same period. Na, Mg, Al, Si, P, S, Cl and Ar belong to the third period of the Modern Periodic Table, since the electrons in the atoms of these elements are filled in K, L and M shells. Write the electronic configuration of these elements and confirm the above statement. Each period marks a new electronic shell getting filled. 87
 Name (a) three elements that have a single electron in their outermost shells. (b) two elements that have two electrons in their outermost shells. (c) three elements with filled outermost shells.
 "
"An element is placed in 2nd group and 3rd period of the periodic table, burn in presence of oxygen to form a basic oxide : (i) Identify the element () (ii) Write the electronic configuration (iii) Write the balanced equation when it burns in the presence of air. (iv) Write a balanced equation when this oxide is dissolved in water. (v) Draw the electron dot structure for the formation of this oxide. ","(i) Magnesium. (ii) Electronic configuration is 2, 8, 2 (iii) 2 Mg +O2 → 2MgO (iv) MgO + H2O → Mg(OH)2 (v) Mg → Mg 2+ + 2e– O + 2e– → O2– (Mg ) ( O ) is electron dot structure.","(i) Write the electr on-dot structures for sodium, oxygen and magnesium. (ii) (iii)
 "
"An element X (2, 8, 2) combines separately with SO42–, PO43– radicals. (i) Write the formulae of the two compounds so formed. (ii) To which group of the modern periodic table does the element X belong ? (iii) Will it form covalent or ionic compound ? Give reasons.","(i) Formulae of these compounds are XSO4, X3(PO4)2. (ii) It belongs to group 2nd and 3rd period. (iii) It will form ionic compounds as it can lose two electrons to acquire stable electronic configuration. 1","3 (in Fe3O4) 3
 "
"Atoms of eight elements A, B, C, D, E, F, G and H have the same number of electronic shells but are different in their outermost shells. It was found that elements A and G combine to form an ionic compound which can also be extracted from sea water. Oxides of the elements A and B are basic in nature while those of E and F are acidic. The oxide of elements D is almost neutral. Answer the following questions based on the information given here in : (i) To which group or period of the periodic table do the listed elements belong ? (ii) Which one of the eight elements is likely to be a noble gas ? (iii) Which one of the eight elements would have the largest atomic radius ? (iv) Which two elements amongst these are likely to be the non–metals ? (v) Which one of these eight elements is likely to be a semi–metal or metalloid ? ","(i) A and B belong to group 1 and 2 because they form basic oxides. C belongs to group 13 as it has 3 valence electrons. D belongs to group 14 as it forms almost netural oxide. E and F belong to group 15 and 16 as they form acidic oxides, G belongs to group 17 as it has 7 valence electrons, and H to group 18. They belong to 3rd period of the periodic table. (ii) H belongs to noble gas (iii) A has largest atomic radius (iv) E and F are likely to be non–metals (v) D is likely to be metalloid or semi–metal.","6. The position of three elements A, B and C in the Periodic Table are shown below – Group 16 Group 17 A B C (a) State whether A is a metal or non-metal. (b) State whether C is more reactive or less reactive than A. (c) Will C be larger or smaller in size than B? (d) Which type of ion, cation or anion, will be formed by element A? 7. Nitrogen (atomic number 7) and phosphorus (atomic number 15) belong to group 15 of the Periodic Table. Write the electronic configuration of these two elements. Which of these will be more electronegative? Why? 8. How does the electronic configuration of an atom relate to its position in the Modern Periodic Table? 9. In the Modern Periodic Table, calcium (atomic number 20) is surrounded by elements with atomic numbers 12, 19, 21 and 38. Which of these have physical and chemical properties resembling calcium? 10. Compare and contrast the arrangement of elements in Mendeléev’s Periodic Table and the Modern Periodic Table.
 "
(a) Draw a diagram of cross-section of the human heart and label the following parts : (i)		 Right ventricle 		(ii) Aorta 		(iii) Left atrium 		(iv) Pulmonary arteries. (b) Give reasons for the following : (i) The muscular walls of ventricles are thicker than the walls of atria. (ii) Arteries have thick elastic walls.		 Aorta,(a) Pulmonary arteries Vena Cava from upper body Pulmonary veins Right atrium Left atrium Vena Cava from lower body Right ventricle Left ventricle Septum (Dividing wall) (b) (i) As ventricle have to pump blood into various organs. (ii) Since the blood emerges from the heart under high pressure. (b) (i),"Our pump — the heart The heart is a muscular organ which is as big as our fist (Fig. 6.10). Because both oxygen and carbon dioxide have to be transported by the blood, the heart has different chambers to prevent the oxygen-rich blood from mixing with the blood containing carbon dioxide. The carbon dioxide-rich blood has to reach the lungs for the carbon dioxide to be removed, and the oxygenated blood from the lungs has to be brought back to the heart. This oxygen-rich blood is then pumped to the rest of the body. We can follow this process step by step (Fig. 6.11). Oxygen-rich blood from the lungs comes to the thin-walled upper chamber of the heart on the left, the left atrium. The left atrium relaxes when it is collecting this blood. It then contracts, while the next chamber, the left ventricle, relaxes, so that the blood is transferred to it. When the muscular left ventricle contracts in its turn, the blood is pumped out to the body. De-oxygenated blood comes from the body to the upper chamber on the right, the right atrium, as it relaxes. As the right atrium contracts, the corresponding lower chamber, the right ventricle, dilates. This transfers blood to the right ventricle, which in turn pumps it to the lungs for oxygenation. Since ventricles have to pump blood into various organs, they have thicker muscular walls than the atria do. Valves ensure that blood does not flow backwards when the atria or ventricles contract.
 "
"(a) State two advantages of transpiration to the plant body. (b) (i) List in tabular form, two ways in which ‘transpiration’ is different from ‘translocation.’ (ii) Why do plants have a slow transport system ?","(a) Two advantages : (i) Helps in absorption and upward movement of water and minerals from roots to the leaves. (ii) Temperature regulation. S. No. Transpiration Translocation (i) Plays role in transport of water and minerals It is a transport of soluble products of photosynthesis. (ii) Occurs through xylem by simple physical forces. Occurs through phloem in the form of sucrose by utilising energy.  (ii) Because plants have a large proportion of dead cells in many tissues, they have low energy needs. So they use a slow transport system.","6.4.2 Transportation in Plants We have discussed earlier how plants take in simple compounds such as CO2 and photosynthesise energy stored in their chlorophyll-containing organs, namely leaves. The other kinds of raw materials needed for building plant bodies will also have to be taken up separately. For plants, the soil is the nearest and richest source of raw materials like nitrogen, phosphorus and other minerals. The absorption of these substances therefore occurs through the part in contact with the soil, namely roots. If the distances between soil-contacting organs and chlorophyllcontaining organs are small, energy and raw materials can easily diffuse to all parts of the plant body. But if these distances become large because of changes in plant body design, diffusion processes will not be sufficient to provide raw material in leaves and energy in roots. A proper system of transportation is therefore essential in such situations. Energy needs differ between different body designs. Plants do not move, and plant bodies have a large proportion of dead cells in many tissues. As a result, plants have low energy needs, and can use relatively slow transport systems. The distances over which transport systems have to operate, however, can be very large in plants such as very tall trees. Plant transport systems will move energy stores from leaves and raw materials from roots. These two pathways are constructed as independently organised conducting tubes. One, the xylem moves water and minerals obtained from the soil. The other, phloem transports products of photosynthesis from the leaves where they are synthesised to other parts of the plant. We have studied the structure of these tissues in detail in Class IX. Transport of water In xylem tissue, vessels and tracheids of the roots, stems and leaves are interconnected to form a continuous system of water-conducting channels reaching all parts of the plant. At the roots, cells in contact with the soil actively take up ions. This creates a difference in the concentration of these ions between the root and the soil. Water, therefore,
 "
Soaps and detergents are both types of salts. State the difference between the two. Write the mechanism of the cleansing action of soaps. Why do soaps not form lather (foam) with hard water ? Mention any two problems that arise due to the use of detergents instead of soaps.  (),"Soaps are the sodium or potassium salts of long chain carboxylic acids while detergents are the ammonium of sulphonate salts of long chain carboxylic acids.  The dirt is oily in nature and when soap is added to water, its molecules form structures called micelles in which carbon chain of the molecules dissolves in the oil while the ionic end dissolves in water and faces outside. The micelles thus help in dissolving the dirt in water. (Note : 1 mark to be awarded if only labelled diagram of micelle is given)  Ca2+ and Mg2+ present in hard water form insoluble substance (scum) with soap.  Two problems : (i) Non-biodegradable (ii) Water pollution / soil pollution 		 (Note : 1 mark to be awarded for any one of the problems.) S.No. Soap Detergents (i) They are sodium These are sodium salts of long chain or potassium fatty acids. salts of sulphonic acids of hydrocarbons. (ii) Soaps cannot be Detergents work used with hard well with hard water. and soft water both. (iii) They are fully They are non-bibiodegradable. odegradable. (iv) They take time to They dissolve dissolve in water. faster in water. Cleansing Action of Soap : When soap is dissolved in water, it forms a colloidal suspension. In this colloidal suspension, the soap molecules cluster together to form micelles and remain radially suspended in water with the hydrocarbon end towards the centre and the ionic end directed outward. The dirt particles always adhere to the oily or greasy layer present on the skin or clothes. When a dirty cloth is dipped into a soap solution, its nonpolar hydrocarbon end of micelles gets attached to the grease or oil present in dirt and polar end remains in water layer. The mechanical action of rubbing subsequently dislodges the oily layer from the dirty surface shaping it into small globules. A stable emulsion of oil in water is formed. The emulsified oil or grease globules bearing the dirt can now be readily washed with water. Soaps do not form lather when the water is hard. When soap is added to hard water, calcium and magnesium salts present in water displace sodium or potassium ions from the soap molecules forming an insoluble substance called scum. Problems that aries due to use of detergents instead of soap : (i) Detergents being non-biodegradable, they accumulate in the environment causing pollution. (ii) In soil, the presence of detergents leads to pH changes making soil infertile. (iii) The entry of detergents into food chain leads to bioaccumulation in living beings and tends toward serious health issues. (Any two) 5","This activity demonstrates the effect of soap in cleaning. Most dirt is oily in nature and as you know, oil does not dissolve in water. The molecules of soap are sodium or potassium salts of long-chain carboxylic acids. The ionic-end of soap interacts with water while the carbon chain interacts with oil. The soap molecules, thus form structures called micelles (see Fig. 4.12) where one end of the molecules is towards the oil droplet while the ionic-end faces outside. This forms an emulsion in water. The soap micelle thus helps in pulling out the dirt in water and we can wash our clothes clean (Fig. 4.13). Can you draw the structure of the micelle that would be formed if you dissolve soap in a hydrocarbon?
 More to Know!
 Micelles Soaps are molecules in which the two ends have differing properties, one is hydrophilic, that is, it interacts with water, while the other end is hydrophobic, that is, it interacts with hydrocarbons. When soap is at the surface of water, the hydrophobic ‘tail’ of soap will not be soluble in water and the soap will align along the surface of water with the ionic end in water and the hydrocarbon ‘tail’ protruding out of water. Inside water,
 Micelles Soaps are molecules in which the two ends have differing properties, one is hydrophilic, that is, it interacts with water, while the other end is hydrophobic, that is, it interacts with hydrocarbons. When soap is at the surface of water, the hydrophobic ‘tail’ of soap will not be soluble in water and the soap will align along the surface of water with the ionic end in water and the hydrocarbon ‘tail’ protruding out of water. Inside water,
 these molecules have a unique orientation that keeps the hydrocarbon portion out of the water. Thus, clusters of molecules in which the hydrophobic tails are in the interior of the cluster and the ionic ends are on the surface of the cluster. This formation is called a micelle. Soap in the form of a micelle is able to clean, since the oily dirt will be collected in the centre of the micelle. The micelles stay in solution as a colloid and will not come together to precipitate because of ion-ion repulsion. Thus, the dirt suspended in the micelles is also easily rinsed away. The soap micelles are large enough to scatter light. Hence a soap solution appears cloudy. Figure 4.13 Effect of soap in cleaning
 Have you ever observed while bathing that foam is formed with difficulty and an insoluble substance (scum) remains after washing with water? This is caused by the reaction of soap with the calcium and magnesium salts, which cause the hardness of water. Hence you need to use a larger amount of soap. This problem is overcome by using another class of compounds called detergents as cleansing agents. Detergents are generally sodium salts of sulphonic acids or ammonium salts with chlorides or bromides ions, etc. Both have long hydrocarbon chain. The charged ends of these compounds do not form insoluble precipitates with the calcium and magnesium ions in hard water. Thus, they remain effective in hard water. Detergents are usually used to make shampoos and products for cleaning clothes.
 "
What are micelles ? Why does it form when soap is added to water ? Will a micelle be formed in other solvents such as ethanol also ? State briefly how the formation of micelles help to clean the clothes having oily spots.  Why does micelle formation takes place when soap is added to water ? Will a micelle be formed in other solvents such as ethanol also ? ,"(i) Soap molecules have two ends– one end is the hydrocarbon chain which is water repellent, where as the other end is the ionic part which it water soluble end. When soap is dissolved in water it forms a group of many molecules, known as micelle. (ii) These micelles are formed because their hydrocarbon chains come together and the polar ends are projected outwards. (iii) Micelle formation in ethanol will not occur because the hydrocarbon chain end of the soap will dissolve in ethanol. (iv) Soaps in the form of micelle are able to clean dirty clothes having oily spots, as the oily dirt is collected in the centre of the micelle, which forms an emulsion in water and on rinsing, the water washes away the micelles with dirt attached to them. ","This activity demonstrates the effect of soap in cleaning. Most dirt is oily in nature and as you know, oil does not dissolve in water. The molecules of soap are sodium or potassium salts of long-chain carboxylic acids. The ionic-end of soap interacts with water while the carbon chain interacts with oil. The soap molecules, thus form structures called micelles (see Fig. 4.12) where one end of the molecules is towards the oil droplet while the ionic-end faces outside. This forms an emulsion in water. The soap micelle thus helps in pulling out the dirt in water and we can wash our clothes clean (Fig. 4.13). Can you draw the structure of the micelle that would be formed if you dissolve soap in a hydrocarbon?
 More to Know!
 Micelles Soaps are molecules in which the two ends have differing properties, one is hydrophilic, that is, it interacts with water, while the other end is hydrophobic, that is, it interacts with hydrocarbons. When soap is at the surface of water, the hydrophobic ‘tail’ of soap will not be soluble in water and the soap will align along the surface of water with the ionic end in water and the hydrocarbon ‘tail’ protruding out of water. Inside water,
 Micelles Soaps are molecules in which the two ends have differing properties, one is hydrophilic, that is, it interacts with water, while the other end is hydrophobic, that is, it interacts with hydrocarbons. When soap is at the surface of water, the hydrophobic ‘tail’ of soap will not be soluble in water and the soap will align along the surface of water with the ionic end in water and the hydrocarbon ‘tail’ protruding out of water. Inside water,
 these molecules have a unique orientation that keeps the hydrocarbon portion out of the water. Thus, clusters of molecules in which the hydrophobic tails are in the interior of the cluster and the ionic ends are on the surface of the cluster. This formation is called a micelle. Soap in the form of a micelle is able to clean, since the oily dirt will be collected in the centre of the micelle. The micelles stay in solution as a colloid and will not come together to precipitate because of ion-ion repulsion. Thus, the dirt suspended in the micelles is also easily rinsed away. The soap micelles are large enough to scatter light. Hence a soap solution appears cloudy. Figure 4.13 Effect of soap in cleaning
 these molecules have a unique orientation that keeps the hydrocarbon portion out of the water. Thus, clusters of molecules in which the hydrophobic tails are in the interior of the cluster and the ionic ends are on the surface of the cluster. This formation is called a micelle. Soap in the form of a micelle is able to clean, since the oily dirt will be collected in the centre of the micelle. The micelles stay in solution as a colloid and will not come together to precipitate because of ion-ion repulsion. Thus, the dirt suspended in the micelles is also easily rinsed away. The soap micelles are large enough to scatter light. Hence a soap solution appears cloudy. Figure 4.13 Effect of soap in cleaning
 4. Explain the nature of the covalent bond using the bond formation in CH3Cl. 5. Draw the electron dot structures for (a) ethanoic acid. (b) H2S. (c) propanone. (d) F2 . 6. What is an homologous series? Explain with an example. 7. How can ethanol and ethanoic acid be differentiated on the basis of their physical and chemical properties? 8. Why does micelle formation take place when soap is added to water? Will a micelle be formed in other solvents such as ethanol also? 9. Why are carbon and its compounds used as fuels for most applications? 10. Explain the formation of scum when hard water is treated with soap. 11. What change will you observe if you test soap with litmus paper (red and blue)? 12. What is hydrogenation? What is its industrial application? 13. Which of the following hydrocarbons undergo addition reactions: C2H6, C3H8, C3H6, C2H2 and CH4. 14. Give a test that can be used to differentiate between saturated and unsaturated hydrocarbons. 15. Explain the mechanism of the cleaning action of soaps.
 Group Activity I II
 Use molecular model kits to make models of the compounds you have learnt in this Chapter. n Take about 20 mL of castor oil/cotton seed oil/linseed oil/soyabean oil in a beaker. Add 30 mL of 20 % sodium hydroxide solution. Heat the mixture with continuous stirring for a few minutes till the mixture thickens. Add 5-10 g of common salt to this. Stir the mixture well and allow it to cool. n You can cut out the soap in fancy shapes. You can also add perfume to the soap before it sets.
 "
(i) Covalent compounds have low melting and boiling points”. Justify this statement. (ii) What is an ester ? Describe an activity to form an ester in a school laboratory. ,"(i) The force of attraction between the molecules of covalent compounds are not strong as ionic compounds. So, they have low melting and low boiling points. (ii) Esters are organic compounds which have sweet smell. Activity : Aim : To demonstrate esterification process using ethanol and acetic acid. Materials Required : Beakers, water, test-tube, ethanol, ethanoic acid, conc. H2SO4. Test-tube cantaining ethanol ethanoic acid, conc. H2SO4 Beaker Wire gauge Water Tripod Stand Burner Procedure : (a) Take 2 ml of ethanol in a test-tube. (b) Add 2 ml of ethanoic acid into it. (c) Add few drops of conc. H2SO4. (d) Warm it in a beaker containing water. (e) Observe the smell of the products formed. Observation : Pleasant fruity smelling compound (called ester) is formed. Chemical Reaction : Conc.H SO CH3COOH(l) + C2H5OH(l)  Ethanoic acid Ethanol CH3COOC2H5 Ethyl ethanoate H 2O Water Conclusion : Carboxylic acid reacts with alcohol in presence of conc. H2SO4 which act as a dehydrating agent to from esters.","Take 1 mL ethanol (absolute alcohol) and 1 mL glacial acetic acid along with a few drops of concentrated sulphuric acid in a test tube. Warm in a water-bath for at least five minutes as shown in Fig. 4.11. Pour into a beaker containing 20-50 mL of water and smell the resulting mixture.
 Reactions of ethanoic acid: (i) Esterification reaction: Esters are most commonly formed by reaction of an acid and an alcohol. Ethanoic acid reacts with absolute ethanol in the presence of an acid catalyst to give an ester – Acid  
 Reactions of ethanoic acid: (i) Esterification reaction: Esters are most commonly formed by reaction of an acid and an alcohol. Ethanoic acid reacts with absolute ethanol in the presence of an acid catalyst to give an ester – Acid  
 CH3 − COOH + CH3 − CH2 OH  CH3 − C − C − CH2 − CH3 + H2O
 Figure 4.11 Formation of ester
 (Ester)
 Generally, esters are sweet-smelling substances. These are used in making perfumes and as flavouring agents. On treating with sodium hydroxide, which is an alkali, the ester is converted back to alcohol and sodium salt of carboxylic acid. This reaction is known as saponification because it is used in the preparation of soap. Soaps are sodium or potassium salts of long chain carboxylic acid. 73
 Generally, esters are sweet-smelling substances. These are used in making perfumes and as flavouring agents. On treating with sodium hydroxide, which is an alkali, the ester is converted back to alcohol and sodium salt of carboxylic acid. This reaction is known as saponification because it is used in the preparation of soap. Soaps are sodium or potassium salts of long chain carboxylic acid. 73
 "
