question,answer,context
What do you observe when you add a few drops of acetic acid to a test-tube containing :  (i) phenolphthalein (ii) distilled water (iii) universal indicator (iv) Sodium hydrogen carbonate powder,(i) No change/remains colourless (ii) No change (iii) Turns pink/orange (iv) Evolution of colourless gas,"change in state change in colour evolution of a gas change in temperature.
 "
A student is studying the properties of acetic acid in his school laboratory. List two physical and two chemical properties which he must observe and note in his record book. ,Physical Properties : (i) Smell like vinegar (ii) Colourless liquid. Chemical Properties : (i) Turns blue litmus red (ii) Gives brisk effervescence with sodium carbonate,"You already know that acids are sour in taste and change the colour of blue litmus to red, whereas, bases are bitter and change the colour of the red litmus to blue. Litmus is a natural indicator, turmeric is another such indicator. Have you noticed that a stain of curry on a white cloth becomes reddish-brown when soap, which is basic in nature, is scrubbed on it? It turns yellow again when the cloth is washed with plenty of water. You can also use synthetic indicators such as methyl orange and phenolphthalein to test for acids and bases. In this Chapter, we will study the reactions of acids and bases, how acids and bases cancel out each other’s effects and many more interesting things that we use and see in our day-to-day life.
 Litmus solution is a purple dye, which is extracted from lichen, a plant belonging to the division Thallophyta, and is commonly used as an indicator. When the litmus solution is neither acidic nor basic, its colour is purple. There are many other natural materials like red cabbage leaves, turmeric, coloured petals of some flowers such as Hydrangea, Petunia and Geranium, which indicate the presence of acid or base in a solution. These are called acid-base indicators or sometimes simply indicators.
 Litmus solution is a purple dye, which is extracted from lichen, a plant belonging to the division Thallophyta, and is commonly used as an indicator. When the litmus solution is neither acidic nor basic, its colour is purple. There are many other natural materials like red cabbage leaves, turmeric, coloured petals of some flowers such as Hydrangea, Petunia and Geranium, which indicate the presence of acid or base in a solution. These are called acid-base indicators or sometimes simply indicators.
 "
"Out of the following list of chemicals, select those which are required to study the prescribed four properties of acetic acid in the laboratory. Litmus solutions (blue or red), water, alcohol, sodium chloride, sodium hydrogen carbonate, calcium hydroxide solution. ","Blue litmus solution, water, sodium hydrogen carbonate and calcium hydroxide solution.","Collect the following solutions from the science laboratory– hydrochloric acid (HCl), sulphuric acid (H2SO4), nitric acid (HNO3), acetic acid (CH 3COOH), sodium hydroxide (NaOH), calcium hydroxide [Ca(OH)2], potassium hydroxide (KOH), magnesium hydroxide [Mg(OH)2], and ammonium hydroxide (NH4OH). Put a drop of each of the above solutions on a watch-glass one by one and test with a drop of the indicators shown in Table 2.1. What change in colour did you observe with red litmus, blue litmus, phenolphthalein and methyl orange solutions for each of the solutions taken? Tabulate your observations in Table 2.1.
 Table 2.1 Sample solution
 Red litmus solution
 Red litmus solution
 Blue litmus solution
 Blue litmus solution
 "
"Write the names of apparatus/chemicals required to study the following properties of ethanoic acid in the laboratory. The properties are : Nature, odour, solubility and action on sodium hydrogen carbonate. ","Litmus water, blue litmus water, test-tubes, Passing tubes. (Any four) 2","You have been provided with three test tubes. One of them contains distilled water and the other two contain an acidic solution and a basic solution, respectively. If you are given only red litmus paper, how will you identify the contents of each test tube?
 "
A student is studying the properties of acetic acid. List two physical properties of acetic acid he observes. What happens when he adds a pinch of sodium hydrogen carbonate to this acid ? Write any two observations. ,"Acetic acid is colourless liquid. It is miscible/soluble in water. (Any or other physical property) On adding a pinch of sodium hydrogen carbonate, Brisk effervescence is observed. Evolution of a colourless/odourless gas. ","Acetic acid
 "
What precautions should be taken while studying the properties of ethanoic acid ?,(i) Handle ethanoic acid carefully. (ii) Add only small amount (0.01 g) of NaHCO3 or Na2CO3 to ethanoic acid to control the intensity of CO2 evolved.,"(Ethanoic acid)
 "
What type of reaction takes place between CH3COOH and NaOH solution ? Where do you find the use of ethanoic acid in day to day food products ?,"Neutralization reaction. It is used in the form of vinegar, which is a dilute solution of ethanoic acid in water.","(Ethanoic acid)
 "
"A student takes 2 ml acetic acid, in a dry test-tube and add a pinch of sodium hydrogen carbonate to it. Write down the observation made by the students ?",A colourless and odourless gas is evolved. It turns lime water milky and this gas extinguish­ es the burning splinter.,"2. A solution reacts with crushed egg-shells to give a gas that turns lime-water milky. The solution contains (a) NaCl
 "
"When you add about 2 ml of acetic acid to a testtube containing an equal amount of distilled water and leave the test-tube to settle after shaking its contents, what will you observe in the test-tube after about 5 minutes ?","When acetic acid and distilled water are mixed, they form a clear solution because acetic acid is completely miscible with water.","Acetic acid
 "
"A student adds a few drops of ethanoic acid to test tubes X, Y and Z containing aqueous solutions of sodium chloride, sodium hydroxide and sodium carbonate respectively. If he now brings a burning splinter near the mouth of the test-tubes immediately after adding ethanoic acid in each one of them, in which of the test tube or test-tubes the flame will be extinguished?","Only test tube Z will be extinguished. The flame will be extinguished when test tube Z is brought near a burning splinter due to evolution of carbon dioxide gas, which does not support combustion","CAUTION: This Activity needs the teacher’s assistance. n Take some carbon compounds (naphthalene, camphor, alcohol) one by one on a spatula and burn them. n Observe the nature of the flame and note whether smoke is produced. n Place a metal plate above the flame. Is there a deposition on the plate in case of any of the compounds?
 "
"Among the two test-tubes I and II, one contains acetic acid and another contains water. Which of the given properties of acetic acid can be used to identify acetic acid from it? (I) (II) (i) Colour change with universal indicator (ii) Reaction with NaHCO3 (iii) Colour of the solution (iv) Transparent nature","The two properties of acetic acid can be used to identify acetic acid in the test tube, containing acetic acid and water are: Acetic acid reacts with NaHCO3 and the colour change with universal indicator. 2","Compare the pH of dilute acetic acid and dilute hydrochloric acid using both litmus paper and universal indicator. Are both acids indicated by the litmus test? Does the universal indicator show them as equally strong acids?
 "
Write the reaction between soap molecules and ions present in hard water.,Ca(HCO3)2 (aq) + 2Na+—stearate (aq) ↓ → Ca(stearate)2 (s) + 2NaHCO3 (aq) CaSO4 (aq) + 2Na+ – stearate (aq)↓ → Ca(stearate)2 (s) + Na2SO4(aq) 1+1,"1 1 H2 O + 1 H2O → CaSO4 .2H2 O 2 2
 "
Is a sample containing dil. HCl hard ? Why ?,Yes. Hydrogen ions provided by HCl makes water hard. H+ + Na+ stearate- → Steric acid + Na+,"HCl
 "
"While studying saponification reaction for the prep­ aration of soap, a teacher suggested to a student to add a small quantity of common salt to the reaction mixture. Write down the function of common salt in this reac­tion?","Common salt is added in saponification reaction, as it helps in the precipitation of soap by decreasing the solubility of soap.","Salts have various uses in everyday life and in industries.
 "
"While studying saponification reaction, a student measures the temperature of the reaction mixture and also finds its nature using blue/red litmus paper. What conclusion can be drawn from his observations?","Saponification reaction is a highly exothermic reaction. The reaction mixture of this reaction is basic in nature and hence, this will turn red litmus blue.","Collect the following solutions from the science laboratory– hydrochloric acid (HCl), sulphuric acid (H2SO4), nitric acid (HNO3), acetic acid (CH 3COOH), sodium hydroxide (NaOH), calcium hydroxide [Ca(OH)2], potassium hydroxide (KOH), magnesium hydroxide [Mg(OH)2], and ammonium hydroxide (NH4OH). Put a drop of each of the above solutions on a watch-glass one by one and test with a drop of the indicators shown in Table 2.1. What change in colour did you observe with red litmus, blue litmus, phenolphthalein and methyl orange solutions for each of the solutions taken? Tabulate your observations in Table 2.1.
 Table 2.1 Sample solution
 Red litmus solution
 Red litmus solution
 Blue litmus solution
 "
