question,answer,context
State one reason for placing Mg and Ca in the same group of the periodic table. ,Due to the presence of 2 electrons in the valence shell and similar chemical properties.  1,"Number of electrons in shells K
 "
"The atomic numbers of three elements A, B and C are 12, 18 and 20 respectively. State giving reason, which two elements will show similar properties. ",A and C will show similar properties because they have same number of valence electrons.,"You will find that all these elements contain the same number of valence electrons. Similarly, you will find that the elements present in any one group have the same number of valence electrons. For example, elements fluorine (F) and chlorine (Cl), belong to group 17, how many electrons do fluorine and chlorine have in their outermost shells? Hence, we can say that groups in the Periodic Table signify an identical outershell electronic configuration. On the other hand, the number of shells increases as we go down the group. There is an anomaly when it comes to the position of hydrogen because it can be placed either in group 1 or group 17 in the first period. Can you say why?
 "
Give the number of elements in 2nd and 5th period in Modern Periodic Table. ,"2nd period has 8 elements, 5th Period has 18 elements.","If you look at the Modern Periodic Table (5.6), you will find that the elements Li, Be, B, C, N, O, F, and Ne are present in the second period. Write down their electronic configurations. Do these elements also contain the same number of valence electrons? Do they contain the same number of shells?
 You will find that these elements of second period do not have the same number of valence electrons, but they contain the same number of shells. You also observe that the number of valence shell electrons increases by one unit, as the atomic number increases by one unit on moving from left to right in a period. Or we can say that atoms of different elements with the same number of occupied shells are placed in the same period. Na, Mg, Al, Si, P, S, Cl and Ar belong to the third period of the Modern Periodic Table, since the electrons in the atoms of these elements are filled in K, L and M shells. Write the electronic configuration of these elements and confirm the above statement. Each period marks a new electronic shell getting filled. 87
 How many elements are there in the first, second, third and fourth periods? We can explain the number of elements in these periods based on how electrons are filled into various shells. You will study the details of this in higher classes. Recall that the maximum number of electrons that can be accommodated in a shell depends on the formula 2n2 where ‘n’ is the number of the given shell from the nucleus. For example, K Shell – 2 × (1)2 = 2, hence the first period has 2 elements. L Shell – 2 × (2)2 = 8, hence the second period has 8 elements. The third, fourth, fifth, sixth and seventh periods have 8, 18, 18, 32 and 32 elements respectively. The reason for this you will study in higher classes. The position of an element in the Periodic Table tells us about its chemical reactivity. As you have learnt, the valence electrons determine the kind and number of bonds formed by an element. Can you now say why Mendeléev’s choice of formulae of compounds as the basis for deciding the position of an element in his Table was a good one? How would this lead to elements with similar chemical properties being placed in the same group?
 "
An element has atomic number 3. To which period of the periodic table does it belong ?,Second period.,"If you look at the Modern Periodic Table (5.6), you will find that the elements Li, Be, B, C, N, O, F, and Ne are present in the second period. Write down their electronic configurations. Do these elements also contain the same number of valence electrons? Do they contain the same number of shells?
 You will find that these elements of second period do not have the same number of valence electrons, but they contain the same number of shells. You also observe that the number of valence shell electrons increases by one unit, as the atomic number increases by one unit on moving from left to right in a period. Or we can say that atoms of different elements with the same number of occupied shells are placed in the same period. Na, Mg, Al, Si, P, S, Cl and Ar belong to the third period of the Modern Periodic Table, since the electrons in the atoms of these elements are filled in K, L and M shells. Write the electronic configuration of these elements and confirm the above statement. Each period marks a new electronic shell getting filled. 87
 Atomic radii of the elements of the second period are given below: Period II elements : B Be O N Li C Atomic radius (pm) : 88 111 66 74 152 77 Arrange them in decreasing order of their atomic radii. Are the elements now arranged in the pattern of a period in the Periodic Table? Which elements have the largest and the smallest atoms? How does the atomic radius change as you go from left to right in a period?
 "
Name any two elements that have two electrons in their valence shell.,"(i) Magnesium : 2, 8, 2 (ii) Calcium","Magnesium (Mg)
 "
There are 7 electrons in the outermost ‘L’ shell of an element . Predict the period and group in the periodic table this element belongs to. ,"Period – 2, Group – 17. (Electronic configuration of element = 2, 7)","Atomic radii of the elements of the second period are given below: Period II elements : B Be O N Li C Atomic radius (pm) : 88 111 66 74 152 77 Arrange them in decreasing order of their atomic radii. Are the elements now arranged in the pattern of a period in the Periodic Table? Which elements have the largest and the smallest atoms? How does the atomic radius change as you go from left to right in a period?
 "
"The electronic configuration of two elements X and Y are 2,8,7 and 2,8,8,3 respectively. Write atomic numbers of X and Y. ","Atomic number of X = 2, 8, 7 = 17 Atomic number of Y = 2, 8, 8, 3 = 21 ()","Atomic mass 35. 5 79.9 126.9
 "
Write any one difference between the electronic configuration of group-1 and group-2 elements. ,Group 1 elements have 1 valence electron while Group 2 elements have 2 valence electrons. ½+½,"You will find that all these elements contain the same number of valence electrons. Similarly, you will find that the elements present in any one group have the same number of valence electrons. For example, elements fluorine (F) and chlorine (Cl), belong to group 17, how many electrons do fluorine and chlorine have in their outermost shells? Hence, we can say that groups in the Periodic Table signify an identical outershell electronic configuration. On the other hand, the number of shells increases as we go down the group. There is an anomaly when it comes to the position of hydrogen because it can be placed either in group 1 or group 17 in the first period. Can you say why?
 "
"Write the atomic numbers of two elements ‘X’ and ‘Y’ having electronic configuration 2, 8, 2 and 2, 8, 6 respectively. ",Atomic number of X = 2 + 8 + 2 = 12 Atomic number of Y = 2 + 8 + 6 = 16,"Atomic mass 35. 5 79.9 126.9
 "
"The atomic number of three element X, Y and Z are 3, 11 and 17 respectively. State giving reason which two elements will show similar chemical properties.  ","X and Y will show similar chemical properties as these have same valence electrons. X = 2, (1) Y = 2, 8, (1)","E X E R C I S E S 1. Which of the following statements is not a correct statement about the trends when going from left to right across the periods of periodic Table. (a) The elements become less metallic in nature. (b) The number of valence electrons increases. (c) The atoms lose their electrons more easily. (d) The oxides become more acidic. 2. Element X forms a chloride with the formula XCl2, which is a solid with a high melting point. X would most likely be in the same group of the Periodic Table as (a) Na (b) Mg (c) AI (d) Si 3. Which element has (a) two shells, both of which are completely filled with electrons? (b) the electronic configuration 2, 8, 2? (c) a total of three shells, with four electrons in its valence shell? (d) a total of two shells, with three electrons in its valence shell? (e) twice as many electrons in its second shell as in its first shell? 4. (a) What property do all elements in the same column of the Periodic Table as boron have in common? (b) What property do all elements in the same column of the Periodic Table as fluorine have in common? 5. An atom has electronic configuration 2, 8, 7. (a) What is the atomic number of this element? (b) To which of the following elements would it be chemically similar? (Atomic numbers are given in parentheses.) N(7) F(9) P(15) Ar(18)
 "
Name two elements of first period in modern periodic table. ,Hydrogen and Helium. ,"Helium (He)
 "
"On which side of the periodic table do you find (i) metals, (ii) non-metals ? [Board Term II, Set (2025), 2012]",Metals are placed on the left side while non-metals are placed on the right side of the periodic table.  ½+½,"As the trends in the electronegativity show, non-metals are found on the right-hand side of the Periodic Table towards the top. These trends also help us to predict the nature of oxides formed by the elements because it is known to you that the oxides of metals are basic and that of non-metals are acidic in general.
 "
"What is the similarity in the valency of all the elements of group 1 in the modern periodic table ? [Board Term II, Set (2036) 2012]",Valency is same i.e. 1. ,"Same size
 "
"How does the electronegativity changes as we move from left to right across a period ? [Board Term II, Set (2045) 2012]",Electronegativity increases across a period. ,"As the effective nuclear charge acting on the valence shell electrons increases across a period, the tendency to lose electrons will decrease. Down the group, the effective nuclear charge experienced by valence
 "
How does metallic character of a metal depend on the size of atom ?,The metallic character of a metal increases with increase in the size of its atom.,"You will see that the atomic size increases down the group. This is because new shells are being added as we go down the group. This increases the distance between the outermost electrons and the nucleus so that the atomic size increases in spite of the increase in nuclear charge. Metallic and Non-metallic Properties
 "
State the similarity in the electronic configuration of all the elements present in group 1 of the periodic table.,Elements in a group have similar electronic configuration so all of them have 1 valence electron.,"You will find that all these elements contain the same number of valence electrons. Similarly, you will find that the elements present in any one group have the same number of valence electrons. For example, elements fluorine (F) and chlorine (Cl), belong to group 17, how many electrons do fluorine and chlorine have in their outermost shells? Hence, we can say that groups in the Periodic Table signify an identical outershell electronic configuration. On the other hand, the number of shells increases as we go down the group. There is an anomaly when it comes to the position of hydrogen because it can be placed either in group 1 or group 17 in the first period. Can you say why?
 Table 3.3 Electronic configurations of some elements Type of element
 Element
 "
List any two properties of the elements belonging to the first group of the modern periodic table. ,First group elements are also known as alkali metals. They possess following properties : (i) These elements exhibit +1 valency. (ii) These are very reactive as they are not found freely in nature.,"Group C elements
 "
"The atomic numbers of three elements X, Y and Z are 3, 11 and 17, respectively. State giving reason which two elements will show similar chemical properties.",The two elements X and Y will show same chemical properties because they have same number of valence electrons in group. They form positively charged ions by losing one electron.,"E X E R C I S E S 1. Which of the following statements is not a correct statement about the trends when going from left to right across the periods of periodic Table. (a) The elements become less metallic in nature. (b) The number of valence electrons increases. (c) The atoms lose their electrons more easily. (d) The oxides become more acidic. 2. Element X forms a chloride with the formula XCl2, which is a solid with a high melting point. X would most likely be in the same group of the Periodic Table as (a) Na (b) Mg (c) AI (d) Si 3. Which element has (a) two shells, both of which are completely filled with electrons? (b) the electronic configuration 2, 8, 2? (c) a total of three shells, with four electrons in its valence shell? (d) a total of two shells, with three electrons in its valence shell? (e) twice as many electrons in its second shell as in its first shell? 4. (a) What property do all elements in the same column of the Periodic Table as boron have in common? (b) What property do all elements in the same column of the Periodic Table as fluorine have in common? 5. An atom has electronic configuration 2, 8, 7. (a) What is the atomic number of this element? (b) To which of the following elements would it be chemically similar? (Atomic numbers are given in parentheses.) N(7) F(9) P(15) Ar(18)
 "
Name the largest artery in the human body.,The largest artery in the human body is Aorta.,"How is oxygen and carbon dioxide transported in human beings?
 Blood pressure The force that blood exerts against the wall of a vessel is called blood pressure. This pressure is much greater in arteries than in veins. The pressure of blood inside the artery during ventricular systole (contraction) is called systolic pressure and pressure in artery during ventricular diastole (relaxation) is called diastolic pressure. The normal systolic pressure is about 120 mm of Hg and diastolic pressure is 80 mm of Hg.
 Blood pressure is measured with an instrument called sphygmomanometer. High blood pressure is also called hypertension and is caused by the constriction of arterioles, which results in increased resistance to blood flow. It can lead to the rupture of an artery and internal bleeding.
 The tubes – blood vessels Arteries are the vessels which carry blood away from the heart to various organs of the body. Since the blood emerges from the heart under high pressure, the arteries have thick, elastic walls. Veins collect the blood from different organs and bring it back to the heart. They do not need thick walls because the blood is no longer under pressure, instead they have valves that ensure that the blood flows only in one direction. On reaching an organ or tissue, the artery divides into smaller and smaller vessels to bring the blood in contact with all the individual cells. The smallest vessels have walls which are one-cell thick and are called capillaries. Exchange of material between the blood and surrounding cells takes place across this thin wall. The capillaries then join together to form veins that convey the blood away from the organ or tissue. Maintenance by platelets What happens if this system of tubes develops a leak? Think about situations when we are injured and start bleeding. Naturally the loss of blood from the system has to be minimised. In addition, leakage would lead to a loss of pressure which would reduce the efficiency of the
 "
