question,answer,context
Amoeba reproduces by which process ? Explain in brief.,"Amoeba reproduces by asexual reproduction, binary fission. It begins the process of reproduction by the division of its nucleus in two nuclei. This is followed by division of its body into two, where each part receives a nucleus. Finally two amoebae are produced from one parent amoeba.","Amoeba reproduces by budding.
 "
What is Metamorphosis ? ,The transformation of the larva into an adult through drastic changes is called metamorphosis.,"features that are present in the adult are not found in these young ones. Then what happens to the tadpoles or caterpillars thereafter? You must have seen a beautiful moth emerging out of the cocoon. In the case of tadpoles, they transform into adults capable of jumping and swimming. The transformation of the larva into an adult through drastic changes is called metamorphosis. What about the changes that we observe in our body as we grow? Do you think we too undergo metamorphosis? In human beings, body parts similar to those present in the adults are present from the time of birth.
 "
Write difference between viviparous and oviparous animals.,"Difference between viviparous and oviparous : Viviparous The animals that give birth to young ones are called viviparous animals. e.g., Human beings, Cats, dogs. Oviparous The animals that lay eggs are called oviparous animals. e.g., Frogs, fishes.","place inside the egg shell during this period? After the chick is completely developed it bursts open the egg shell. In animals which undergo external fertilisation, development of the embryo takes place outside the female body. The embryos continue to grow within their egg coverings. After the embryos develop, the eggs hatch. You must have seen numerous tadpoles swimming in ponds and streams. Viviparous and Oviparous Animals We have learnt that some animals give birth to young ones while some animals lay eggs which later develop into young ones. The animals which give birth to young ones are called viviparous animals. Those animals which lay eggs are called oviparous animals. The following activity will help you understand better and differentiate between viviparous and oviparous animals.
 "
How is egg formed in the hen ?,"After fertilization, the zygote divides repeatedly and travels down the oviduct. As it travels down, many protective layers are formed around it. The hard shell is formed","Development of Embryo Fertilisation results in the formation of zygote which begins to develop into an embryo [Fig. 9.8(a)]. The zygote divides repeatedly to give rise to a ball of cells [Fig. 9.8(b)]. The cells then begin to form groups that develop into different tissues and organs of the body. This developing structure is termed an embryo. The embryo gets embedded in the wall of the uterus for further development [Fig. 9.8(c)]. The embryo continues to develop in the uterus. It gradually develops body
 Uterus
 Ovary Zygote
 A zygote is formed as a result of fertilisation.
 "
Write difference between internal fertilization and external fertilization. ,"External Fertilization Internal fertilization Fertilization that takes place inside the female body is called internal fertilization. e.g., Human, cats, Dogs. Fertilization in which the fusion of a male and a female gamete takes place outside the body of the female is called extenal fertilization. e.g., fish, star fish etc.","You will be surprised to know that in many animals fertilisation takes place outside the body of the female. In these animals, fertilisation takes place in water. Let us find out how this happens.
 Activity 9.1 Visit some ponds or slow-flowing streams during spring or rainy season. Look out for clusters of f r og’s eggs floating in water. Write down the colour and size of the eggs.
 As the eggs are laid, the male deposits sperms over them. Each sperm swims randomly in water with the help of its long tail. The sperms come in contact with the eggs. This results in fertilisation. This type of fertilisation in which the fusion of a male and a female gamete takes place outside the body of the female is called external fertilisation. It is very common in aquatic animals such as fish, starfish, etc.
 As the eggs are laid, the male deposits sperms over them. Each sperm swims randomly in water with the help of its long tail. The sperms come in contact with the eggs. This results in fertilisation. This type of fertilisation in which the fusion of a male and a female gamete takes place outside the body of the female is called external fertilisation. It is very common in aquatic animals such as fish, starfish, etc.
 "
What is IVF ?,"IVF is In-vitro fertilization. In such cases the doctor collects freshly released egg and sperm and keep them together for a few hours for fertilization. When fertilization occurs, the zygote is formed and allowed to develop for about a week and then, it is placed in the mother’s uterus. Babies born through this technique are called test-tube baby.","Have you heard of test tube babies? Boojho and Paheli’s teacher once told them in the class that in some women oviducts are blocked. These women are unable to bear babies because sperms cannot reach the egg for fertilisation. In such cases, doctors collect freshly released egg and sperms and keep them together for a few hours for IVF or in vitro fertilisation (fertilisation outside the body). In case fertilisation occurs, the zygote is allowed to develop for about a week and then it is placed in the mother’s uterus. Complete development takes place in the uterus and the baby is born like any other baby. Babies born through this technique are called test-tube babies. This term is actually misleading because babies cannot grow in test tubes.
 "
Explain the structure of male reproductive system in human beings.,"Male reproductive system : The male reproductive organs include a pair of testes, two sperm ducts and a penis. The testes produce the male gametes called sperms. Millions of sperms are produced by the testes.","Male Reproductive Organs Head
 The male reproductive organs include a pair of testes (singular, testis), two sperm ducts and a penis (Fig. 9.1). The testes produce the male gametes called sperms. Millions of sperms are produced by the testes. Look at Fig. 9.2 which shows the picture of a sperm. Though sperms are very small in size, each has a head, a middle piece and a tail. Does it appear to be a single cell? Indeed, each
 The male reproductive organs include a pair of testes (singular, testis), two sperm ducts and a penis (Fig. 9.1). The testes produce the male gametes called sperms. Millions of sperms are produced by the testes. Look at Fig. 9.2 which shows the picture of a sperm. Though sperms are very small in size, each has a head, a middle piece and a tail. Does it appear to be a single cell? Indeed, each
 "
Why the new individual inherits some characteristics from the mother and some from the father ?,The process of fertilization is the meeting of an egg cell from the mother and a sperm cell from the father. So the new individual inherits some characteristics from the mother and some from the father.,"Fertilisation The first step in the process of reproduction is the fusion of a sperm and an ovum. When sperms come in contact with an egg, one of the sperms may fuse with the egg. Such fusion of the egg and the sperm is called fertilisation (Fig. 9.5). During fertilisation, the nuclei of the sperm and the egg fuse to form a single nucleus. This results in the formation of a fertilised egg or zygote (Fig. 9.6). Did
 The process of fertilisation is the meeting of an egg cell from the mother and a sperm cell from the father. So, the new individual inherits some characteristics from the mother and some from the father. Look at your brother or sister. See if you can recognise some characters in them similar to those of your mother or your father. Fertilisation which takes place inside the female body is called internal fertilisation. Internal fertilisation occurs in many animals including humans, cows, dogs and hens.
 The process of fertilisation is the meeting of an egg cell from the mother and a sperm cell from the father. So, the new individual inherits some characteristics from the mother and some from the father. Look at your brother or sister. See if you can recognise some characters in them similar to those of your mother or your father. Fertilisation which takes place inside the female body is called internal fertilisation. Internal fertilisation occurs in many animals including humans, cows, dogs and hens.
 "
How does external fertilization takes place ? Explain with an example.,"Fertilization in which the fusion of a male and a female gamete takes place outside the body of a female is called external fertilization. It is very common in aquatic animals. During spring or rainy season, frogs and toads move to ponds and slow flowing streams. When the male and female come together in water, the female lays hundreds of eggs. A layer of jelly holds the eggs together and provides protection to the eggs. The male deposits sperm over them. The sperms come in contact with the eggs. This results in fertilization.","As the eggs are laid, the male deposits sperms over them. Each sperm swims randomly in water with the help of its long tail. The sperms come in contact with the eggs. This results in fertilisation. This type of fertilisation in which the fusion of a male and a female gamete takes place outside the body of the female is called external fertilisation. It is very common in aquatic animals such as fish, starfish, etc.
 During spring or rainy season, frogs and toads move to ponds and slowflowing streams. When the male and female come together in water, the
 "
Why do fishes and frogs lay eggs in hundreds ?,"This is because the eggs and sperms get exposed to water movement, wind and rainfall. There are other animals in the pond, which may feed on eggs. Thus production of large number of eggs and sperms is necessary to ensure fertilization of atleast a few of them. 3","You will be surprised to know that in many animals fertilisation takes place outside the body of the female. In these animals, fertilisation takes place in water. Let us find out how this happens.
 Activity 9.1 Visit some ponds or slow-flowing streams during spring or rainy season. Look out for clusters of f r og’s eggs floating in water. Write down the colour and size of the eggs.
 As the eggs are laid, the male deposits sperms over them. Each sperm swims randomly in water with the help of its long tail. The sperms come in contact with the eggs. This results in fertilisation. This type of fertilisation in which the fusion of a male and a female gamete takes place outside the body of the female is called external fertilisation. It is very common in aquatic animals such as fish, starfish, etc.
 Though these animals lay hundreds of eggs and release millions of sperms, all the eggs do not get fertilised and develop into new individuals. This is because the eggs and sperms get exposed to water movement, wind and rainfall. Also, there are other animals in the pond which may feed on eggs. Thus, production of large number of eggs and sperms is necessary to ensure fertilisation of at least a few of them.
 "
