question,answer,context
“U.S. entry into the war in Vietnam marked a new phase that proved costly to Vietnamese as well as to the Americans.” Analyse the statement.  How did the entry of the U.S. into the war mark a new phase that proved costly to the Vietnamese as well as to the Americans ? Explain. ,"  Even though the U.S. had advanced technology and good medical supplies, casualties were high.  About 47,244 died in battle and 3,03,704 were wounded who became 100% disabled.  The phase of struggle with the U.S. was brutal.  Widespread attacks and use of chemical weapons , bombs destroyed many villages and decimated jungles. Civilians died in large numbers.   The effect of the war was felt within the U.S. as well.  Many were critical of U.S. joining the war. war.  Anger spread when youth were recruited for the war.  Compulsory service in the armed forces was waived off for university graduates.  Only minorities and children of working class families were sent to war. ","The First World War was a war like no other before. The fighting involved the world’s leading industrial nations which now harnessed the vast powers of modern industry to inflict the greatest possible destruction on their enemies. This war was thus the first modern industrial war. It saw the use of machine guns, tanks, aircraft, chemical weapons, etc. on a massive scale. These were all increasingly products of modern largescale industry. To fight the war, millions of soldiers had to be recruited from around the world and moved to the frontlines on large ships and trains. The scale of death and destruction – 9 million dead and 20 million injured – was unthinkable before the industrial age, without the use of industrial arms. Most of the killed and maimed were men of working age. These deaths and injuries reduced the able-bodied workforce in Europe. With fewer numbers within the family, household incomes declined after the war. During the war, industries were restructured to produce war-related goods. Entire societies were also reorganised for war – as men went to battle, women stepped in to undertake jobs that earlier only men were expected to do.
 The war led to the snapping of economic links between some of the world’s largest economic powers which were now fighting each other to pay for them. So Britain borrowed large sums of money from US banks as well as the US public. Thus the war transformed the US from being an international debtor to an international creditor. In other words, at the war’s end, the US and its citizens owned more overseas assets than foreign governments and citizens owned in the US.
 3.2 Post-war Recovery Post-war economic recovery proved difficult. Britain, which was the world’s leading economy in the pre-war period, in particular faced a prolonged crisis. While Britain was preoccupied with war, industries had developed in India and Japan. After the war Britain found it difficult to recapture its earlier position of dominance in the Indian market, and to compete with Japan internationally. Moreover, to finance war expenditures Britain had borrowed liberally from the US. This meant that at the end of the war Britain was burdened with huge external debts. The war had led to an economic boom, that is, to a large increase in demand, production and employment. When the war boom ended, production contracted and unemployment increased. At the same time the government reduced bloated war expenditures to bring them into line with peacetime revenues. These developments led to huge job losses – in 1921 one in every five British workers was out of work. Indeed, anxiety and uncertainty about work became an enduring part of the post-war scenario. The Making of a Global World
 Many agricultural economies were also in crisis. Consider the case of wheat producers. Before the war, eastern Europe was a major supplier of wheat in the world market. When this supply was disrupted during the war, wheat production in Canada, America and Australia expanded dramatically. But once the war was over, production in eastern Europe revived and created a glut in wheat output. Grain prices fell, rural incomes declined, and farmers fell deeper into debt.
 Many agricultural economies were also in crisis. Consider the case of wheat producers. Before the war, eastern Europe was a major supplier of wheat in the world market. When this supply was disrupted during the war, wheat production in Canada, America and Australia expanded dramatically. But once the war was over, production in eastern Europe revived and created a glut in wheat output. Grain prices fell, rural incomes declined, and farmers fell deeper into debt.
 3.3 Rise of Mass Production and Consumption In the US, recovery was quicker. We have already seen how the war helped boost the US economy. After a short period of economic 69 2020-21
 "
“Women were represented as warriors as well as workers in Vietnam in the 1960’s.” Analyse the statement with examples.  “Women “W omen were represented not only as warriors but also as workers in Vietnam.” Support the statement  with examples.,"The role of women as warriors :  As brave fighters seen shooting down planes.  They were portrayed as young, brave and dedicated.  Stories were written to show their role in army.  Nguyen Thi Xuan was reputed to have shot down a jet with just twenty bullets. The role of women as workers :  They were shown with a rifle in one hand and a hammer in the other.  They were depicted as selflessly working and fighting to save the country.  Many women joined the resistant movement.  5","picketed foreign cloth and liquor shops. Many went to jail. In urban areas these women were from high-caste families; in rural areas they came from rich peasant households. Moved by Gandhiji’s call, they began to see service to the nation as a sacred duty of women. Yet, this increased public role did not necessarily mean any radical change in the way the position of women was visualised. Gandhiji was convinced that it was the duty of women to look after home and hearth, be good mothers and good wives. And for a long time the Congress was reluctant to allow women to hold any position of authority within the organisation. It was keen only on their symbolic presence.
 The issue of extending political rights to women was a controversial one within the liberal movement, in which large numbers of women had participated actively over the years. Women had formed their own political associations, founded newspapers and taken part in political meetings and demonstrations. Despite this they were denied New words Feminist – Awareness of women’s rights and interests based on the belief of the social, economic and political equality of the genders
 How were liberty and equality for women to be defined? The liberal politician Carl Welcker, an elected member of the Frankfurt Parliament, expressed the following views: ‘Nature has created men and women to carry out different functions … Man, the stronger, the bolder and freer of the two, has been designated as protector of the family, its provider, meant for public tasks in the domain of law, production, defence. Woman, the weaker, dependent and timid, requires the protection of man. Her sphere is the home, the care of the children, the nurturing of the family … Do we require any further proof that given such differences, equality between the sexes would only endanger harmony and destroy the dignity of the family?’ Louise Otto-Peters (1819-95) was a political activist who founded a women’s journal and subsequently a feminist political association. The first issue of her newspaper (21 April 1849) carried the following editorial: ‘Let us ask how many men, possessed by thoughts of living and dying for the sake of Liberty, would be prepared to fight for the freedom of the entire people, of all human beings? When asked this question, they would all too easily respond with a “Yes!”, though their untiring efforts are intended for the benefit of only one half of humanity – men. But Liberty is indivisible! Free men therefore must not tolerate to be surrounded by the unfree …’ An anonymous reader of the same newspaper sent the following letter to the editor on 25 June 1850: ‘It is indeed ridiculous and unreasonable to deny women political rights even though they enjoy the right to property which they make use of. They perform functions and assume responsibilities without however getting the benefits that accrue to men for the same … Why this injustice? Is it not a disgrace that even the stupidest cattle-herder possesses the right to vote, simply because he is a man, whereas highly talented women owning considerable property are excluded from this right, even though they contribute so much to the maintenance of the state?’
 "
Elaborate upon the role of women during war and  peace in Vietnam. “The role of women varied in the anti-imperialist movement in Vietnam.” Examine the statement. ,"Role of Women in the anti-imperialist movement : Women played very important role in antiimperialist movement in Vietnam in the following ways :  In 1960’s photographs in magazines and journals showed women as brave fighters.  They had been portrayed as young, brave and dedicated.  Women were represented not only as warriors but also as hard workers as shown with a rifle in one hand and hammer in the other.  Whether young or old, women began to be depicted as selflessly working and fighting to save the country.  Many women responded and joined the resistance movement. They helped in nursing the wounded, constructing underground rooms, tunnels and fighting the enemy.  Between 1965 to 1975, of the 17,000 youths who worked on the trail, 70 to 80% were women.   1 × 5 = 5","Fig. 9 – Women join nationalist processions. During the national movement, many women, for the first time in their lives, moved out of their homes on to a public arena. Amongst the marchers you can see many old women, and mothers with children in their arms.
 "
The peace negotiations in Geneva followed the division of Vietnam that set in motion a series of events that turned Vietnam into a battle field.” Analyse the statement with arguments. ,"“The peace negotiations in Geneva followed the division of Vietnam that set in motion a series of events that turned Vietnam into a battle field :”  In the peace negotiations in Geneva that followed the French defeat, the Vietnamese were persuaded to accept the division of the country i.e. North and South.  The division set in motion a series of events that turned Vietnam into a battlefield bringing death and destructions to its people as well as the environment.  The Bao Dai regime was soon overthrown by a coup led by Ngo Dinh Diem. Diem D iem built a repressive and authoritarian government.  Anyone who opposed him was called a Communist and was jailed and killed.  With the help of Ho Chi Minh government in North the NLF fought for the unification of the country. The U.S. watched this alliance with fear. Worried about the communist gaining power, it decided to intervene decisively sending in troops and arms.  1 × 5 = 5 Value","People hoped that their hardships would end after the war was over. But that did not happen. At this stage a new leader appeared and suggested a new mode of struggle.
 "
Explain the effects of First World War on India. ," The war created a new economic and political situation.  It led to huge increase in defence expenditure which was financed by war loans and increasing taxes, custom duties were raised and income tax was introduced.  Prices increased, doubling between 1913-18. This hit the common people.  Villagers were asked to supply soldiers and through force recruitment in rural areas.  During 1918-19, crops failed in many parts of India which created shortage of food.  Spread of influenza epidemic and death of 12 to 13 million people.  1 × 5 = 5 ","and imports nearly halved between 1928 and 1934. As international prices crashed, prices in India also plunged. Between 1928 and 1934, wheat prices in India fell by 50 per cent. Peasants and farmers suffered more than urban dwellers. Though agricultural prices fell sharply, the colonial government refused to reduce revenue demands. Peasants producing for the world market were the worst hit. Consider the jute producers of Bengal. They grew raw jute that was processed in factories for export in the form of gunny bags. But as gunny exports collapsed, the price of raw jute crashed more than 60 per cent. Peasants who borrowed in the hope of better times or to increase output in the hope of higher incomes faced ever lower prices, and fell deeper and deeper into debt. Thus the Bengal jute growers’ lament: grow more jute, brothers, with the hope of greater cash. Costs and debts of jute will make your hopes get dashed. When you have spent all your money and got the crop off the ground, … traders, sitting at home, will pay only Rs 5 a maund.
 "
Explain Gandhiji’s view on Satyagraha. Which quality of Mahatma Gandhi turned the freedom struggle into a mass movement ?  Explain the ideas of Gandhiji regarding ‘Satyagraha’ in five points.,"Five points about Gandhiji’s idea of ‘Satyagraha’ :  The idea of Satyagraha emphasized the power of truth and the need to search for truth.  It suggested that if the cause was true, if the struggle was against injustice, then physical force was not necessary to fight the oppressor.  This could be done by appealing to the conscience of the oppressor.  Without seeking vengeance or being aggressive, a satyagrahi could win the battle through nonviolence.  People including the oppressors had to be persuaded to see the truth, instead of being forced to accept truth through the use o f violence.  Gandhiji believed that truth was bound to ultimately triumph.   He believed that the dharma of non-violence  1 × 5 = 5 could unite all Indians.  the impact of the First World War on","Source A Mahatma Gandhi on Satyagraha ‘It is said of “passive resistance” that it is the weapon of the weak, but the power which is the subject of this article can be used only by the strong. This power is not passive resistance; indeed it calls for intense activity. The movement in South Africa was not passive but active …
 ‘ Satyagraha is not physical force. A satyagrahi does not inflict pain on the adversary; he does not seek his destruction … In the use of satyagraha, there is no ill-will whatever. ‘ Satyagraha is pure soul-force. Truth is the very substance of the soul. That is why this force is called satyagraha. The soul is informed with knowledge. In it burns the flame of love. … Nonviolence is the supreme dharma … ‘It is certain that India cannot rival Britain or Europe in force of arms. The British worship the war-god and they can all of them become, as they are becoming, bearers of arms. The hundreds of millions in India can never carry arms. They have made the religion of non-violence their own ...’
 ‘ Satyagraha is not physical force. A satyagrahi does not inflict pain on the adversary; he does not seek his destruction … In the use of satyagraha, there is no ill-will whatever. ‘ Satyagraha is pure soul-force. Truth is the very substance of the soul. That is why this force is called satyagraha. The soul is informed with knowledge. In it burns the flame of love. … Nonviolence is the supreme dharma … ‘It is certain that India cannot rival Britain or Europe in force of arms. The British worship the war-god and they can all of them become, as they are becoming, bearers of arms. The hundreds of millions in India can never carry arms. They have made the religion of non-violence their own ...’
 Source
 Activity Read the text carefully. What did Mahatma Gandhi mean when he said satyagraha is active resistance?
 Activity Read the text carefully. What did Mahatma Gandhi mean when he said satyagraha is active resistance?
 Nationalism in India
 the racist regime with a novel method of mass agitation, which he called satyagraha. The idea of satyagraha emphasised the power of truth and the need to search for truth. It suggested that if the cause was true, if the struggle was against injustice, then physical force was not necessary to fight the oppressor. Without seeking vengeance or being aggressive, a satyagrahi could win the battle through nonviolence. This could be done by appealing to the conscience of the oppressor. People – including the oppressors – had to be persuaded to see the truth, instead of being forced to accept truth through the use of violence. By this struggle, truth was bound to ultimately triumph. Mahatma Gandhi believed that this dharma of non-violence could unite all Indians.
 the racist regime with a novel method of mass agitation, which he called satyagraha. The idea of satyagraha emphasised the power of truth and the need to search for truth. It suggested that if the cause was true, if the struggle was against injustice, then physical force was not necessary to fight the oppressor. Without seeking vengeance or being aggressive, a satyagrahi could win the battle through nonviolence. This could be done by appealing to the conscience of the oppressor. People – including the oppressors – had to be persuaded to see the truth, instead of being forced to accept truth through the use of violence. By this struggle, truth was bound to ultimately triumph. Mahatma Gandhi believed that this dharma of non-violence could unite all Indians.
 "
What was the the economic conditions in India. ," It created new economic and political problems. The war had led to huge expenditure which was financed by heavy loans and increase in taxes. Customs duties were raised and income tax was introduced.  The prices had doubled between 1913-18 and the common people underwent great hardships.  Crops had failed between 1918-19 and 192021 leading to famine and disease. There were epidemics killing between 12-13 million people .  People’s hope that the end of war would bring an end to their goals were belied, and this led to their support to the national movement.  The Muslims were antagonised by the British ill-treatment of the Khalifa, after the First World War.  Indian villagers were also incensed by the British Government’s forced recruitment of men in the army.  The Congress and other parties were angry with the British for not consulting them before making India a party on their side against Germany.  Taking advantage of the First World War, many revolutionary parties cropped up and they incited the people to join the anti-colonial movement in  India .  1 × 5 = 5","1 The First World War, Khilafat and Non-Cooperation In the years after 1919, we see the national movement spreading to new areas, incorporating new social groups, and developing new modes of struggle. How do we understand these developments? What implications did they have? First of all, the war created a new economic and political situation. It led to a huge increase in defence expenditure which was financed by war loans and increasing taxes: customs duties were raised and income tax introduced. Through the war years prices increased – doubling between 1913 and 1918 – leading to extreme hardship for the common people. Villages were called upon to supply soldiers, and the forced recruitment in rural areas caused widespread anger. Then in 1918-19 and 1920-21, crops failed in many parts of India, resulting in acute shortages of food. This was accompanied by an influenza epidemic. According to the census of 1921, 12 to 13 million people perished as a result of famines and the epidemic.
 3.2 Post-war Recovery Post-war economic recovery proved difficult. Britain, which was the world’s leading economy in the pre-war period, in particular faced a prolonged crisis. While Britain was preoccupied with war, industries had developed in India and Japan. After the war Britain found it difficult to recapture its earlier position of dominance in the Indian market, and to compete with Japan internationally. Moreover, to finance war expenditures Britain had borrowed liberally from the US. This meant that at the end of the war Britain was burdened with huge external debts. The war had led to an economic boom, that is, to a large increase in demand, production and employment. When the war boom ended, production contracted and unemployment increased. At the same time the government reduced bloated war expenditures to bring them into line with peacetime revenues. These developments led to huge job losses – in 1921 one in every five British workers was out of work. Indeed, anxiety and uncertainty about work became an enduring part of the post-war scenario. The Making of a Global World
 Many agricultural economies were also in crisis. Consider the case of wheat producers. Before the war, eastern Europe was a major supplier of wheat in the world market. When this supply was disrupted during the war, wheat production in Canada, America and Australia expanded dramatically. But once the war was over, production in eastern Europe revived and created a glut in wheat output. Grain prices fell, rural incomes declined, and farmers fell deeper into debt.
 "
How did Gandhiji convert the National Movement into a Mass Movement ? ,Gandhiji converted the National Movement into a Mass Movement by :  His simple and saintly life and style of convincing the masses made him popular.  His undisputed leadership and magnetic personality.  His policy of non-violent Satyagraha.  His programmes of social reforms like fighting fig hting against untouchability.  His commitment to Hindu-Muslim unity.  1 × 5 = 5,"Indians, and had survived only because of this cooperation. If Indians refused to cooperate, British rule in India would collapse within a year, and swaraj would come. How could non-cooperation become a movement? Gandhiji proposed that the movement should unfold in stages. It should begin with the surrender of titles that the government awarded, and a boycott of civil services, army, police, courts and legislative councils, schools, and foreign goods. Then, in case the government used repression, a full civil disobedience campaign would be launched. Through the summer of 1920 Mahatma Gandhi and Shaukat Ali toured extensively, mobilising popular support for the movement.
 Conclusion A growing anger against the colonial government was thus bringing together various groups and classes of Indians into a common struggle for freedom in the first half of the twentieth century. The Congress under the leadership of Mahatma Gandhi tried to channel people’s grievances into organised movements for independence. Through such movements the nationalists tried to forge a national unity. But as we have seen, diverse groups and classes participated in these movements with varied aspirations and expectations. As their grievances were wide-ranging, freedom from colonial rule also meant different things to different people. The Congress continuously attempted to resolve differences, and ensure that the demands of one group did not alienate another. This is precisely why the unity within the movement often broke down. The high points of Congress activity and nationalist unity were followed by phases of disunity and inner conflict between groups. In other words, what was emerging was a nation with many voices wanting freedom from colonial rule.
 Fig. 14b Women’s procession in Bombay during the Quit India Movement
 The failure of the Cripps Mission and the effects of World War II created widespread discontentment in India. This led Gandhiji to launch a movement calling for complete withdrawal of the British from India. The Congress Working Committee, in its meeting in Wardha on 14 July 1942, passed the historic ‘Quit India’ resolution demanding the immediate transfer of power to Indians and quit India. On 8 August 1942 in Bombay, the All India Congress Committee endorsed the resolution which called for a non-violent mass struggle on the widest possible scale throughout the country. It was on this occasion that Gandhiji delivered the famous ‘Do or Die’ speech. The call for ‘Quit India’ almost brought the state machinery to a standstill in large parts of the country as people voluntarily threw themselves into the thick of the movement. People observed hartals, and demonstrations and processions were accompanied by national songs and slogans. The movement was truly a mass movement which brought into its ambit thousands of ordinary people, namely students, workers and peasants. It also saw the active participation of leaders, namely, Jayprakash Narayan, Aruna Asaf Ali and Ram Manohar Lohia and many women such as Matangini Hazra in Bengal, Kanaklata Barua in Assam and Rama Devi in Odisha. The British responded with much force, yet it took more than a year to suppress the movement.
 "
Why did Gandhiji decide to launch a nationwide Satyagraha against the proposed Rowlatt Act of 1919? How was it organized ?  Explain.,"Satyagraha against the proposed Rowlatt Act, 1919 :  The Rowlatt Act was hurriedly passed through the Imperial Legislative Council.  Indian members unitedly opposed it.  It gave government enormous powers to repress political activities.  It allowed detention of political prisoners without trials for two years.  Organization of Satyagraha :  Mahatma Gandhi wanted non-violent civil disobedience against such unjust laws.  It was started with a ‘Hartal’ on 6 th April.  Rallies were organized in various cities.  Workers went on strike in railway workshops.  Shops were closed down.  2 + 3 = 5 ","After arriving in India, Mahatma Gandhi successfully organised satyagraha movements in various places. In 1917 he travelled to Champaran in Bihar to inspire the peasants to struggle against the oppressive plantation system. Then in 1917, he organised a satyagraha to support the peasants of the Kheda district of Gujarat. Affected by crop failure and a plague epidemic, the peasants of Kheda could not pay the revenue, and were demanding that revenue collection be relaxed. In 1918, Mahatma Gandhi went to Ahmedabad to organise a satyagraha movement amongst cotton mill workers.
 1.2 The Rowlatt Act Emboldened with this success, Gandhiji in 1919 decided to launch a nationwide satyagraha against the proposed Rowlatt Act (1919). This Act had been hurriedly passed through the Imperial Legislative Council despite the united opposition of the Indian members. It gave the government enormous powers to repress political activities, and allowed detention of political prisoners without trial for two years. Mahatma Gandhi wanted non-violent civil disobedience against such unjust laws, which would start with a hartal on 6 April.
 1.2 The Rowlatt Act Emboldened with this success, Gandhiji in 1919 decided to launch a nationwide satyagraha against the proposed Rowlatt Act (1919). This Act had been hurriedly passed through the Imperial Legislative Council despite the united opposition of the Indian members. It gave the government enormous powers to repress political activities, and allowed detention of political prisoners without trial for two years. Mahatma Gandhi wanted non-violent civil disobedience against such unjust laws, which would start with a hartal on 6 April.
 "
What was the impact of the Rowlatt Act Satyagraha on the political situation in India? Describe. ,"Impact of the the Rowlatt Act on the political situation in India :  People organised hartals in cities and railways went on strike.  Shops were closed down.  Leaders were arrested.  At Amritsar, police fired upon a peaceful procession.  Martial law was imposed.","1.2 The Rowlatt Act Emboldened with this success, Gandhiji in 1919 decided to launch a nationwide satyagraha against the proposed Rowlatt Act (1919). This Act had been hurriedly passed through the Imperial Legislative Council despite the united opposition of the Indian members. It gave the government enormous powers to repress political activities, and allowed detention of political prisoners without trial for two years. Mahatma Gandhi wanted non-violent civil disobedience against such unjust laws, which would start with a hartal on 6 April.
 "
