question,answer,context
What was the role of National Liberation Liberation Front in Vietnam ? , Ngo Dinh Diem‘s dictorial rule came to be opposed by a broad opposition united under the banner of the National Liberation Front .  The NLF fought for the unification of the country with the help of the Ho Chi Minh government in the north.  America watched this alliance with fear. 1 × 3 = 3,"Round Table Conference) in London and the government agreed to Box 1 release the political prisoners. In December 1931, Gandhiji went to ‘To the altar of this revolution we have London for the conference, but the negotiations broke down and brought our youth as incense’ he returned disappointed. Back in India, he discovered that the Many nationalists thought that the struggle government had begun a new cycle of repression. Ghaffar Khan against the British could not be won through non-violence. In 1928, the Hindustan Socialist and Jawaharlal Nehru were both in jail, the Congress had been Republican Army (HSRA) was founded at a declared illegal, and a series of measures had been imposed to prevent meeting in Ferozeshah Kotla ground in Delhi. meetings, demonstrations and boycotts. With great apprehension, Amongst its leaders were Bhagat Singh, Jatin Das and Ajoy Ghosh. In a series of dramatic Mahatma Gandhi relaunched the Civil Disobedience Movement. actions in different parts of India, the HSRA For over a year, the movement continued, but by 1934 it lost targeted some of the symbols of British power. its momentum. In April 1929, Bhagat Singh and Batukeswar
 "
The U.S. intervention in Vietnam proved costly to both U.S. and Vietnam’. Explain. ,Refer to of Q. 1 Long Answer Type Questions. 3,"Write in brief
 Write in brief
 Write in brief
 Write in brief
 Write in brief 1. Give reasons for the following:
 "
“The war grew grew out of a fear among U.S. policy planners that the victory of the Ho Chi Minh government would start a Domino effect.” Support the statement explaining three  reasons.,"Domino effect would be started if :  Communist governments would be established in other countries in their area.  Nationalism will move people to action, inspiring them to sacrifice.  Small country fought the most technologically technolo gically advanced country in the world. ","Two crucial influences shaped post-war reconstruction. The first was the US’s emergence as the dominant economic, political and military power in the Western world. The second was the dominance of the Soviet Union. It had made huge sacrifices to defeat Nazi Germany, and transformed itself from a backward agricultural country into a world power during the very years when the capitalist world was trapped in the Great Depression. Fig. 25 – Stalingrad in Soviet Russia devastated by the war.
 4.1 Post-war Settlement and the Bretton Woods Institutions Economists and politicians drew two key lessons from inter-war economic experiences. First, an industrial society based on mass production cannot be sustained without mass consumption. But to ensure mass consumption, there was a need for high and stable incomes. Incomes could not be stable if employment was unstable. Thus stable incomes also required steady, full employment. But markets alone could not guarantee full employment. Therefore governments would have to step in to minimise 74 2020-21
 fluctuations of price, output and employment. Economic stability could be ensured only through the intervention of the government. The second lesson related to a country’s economic links with the outside world. The goal of full employment could only be achieved if governments had power to control flows of goods, capital and labour. Thus in brief, the main aim of the post-war international economic system was to preserve economic stability and full employment in the industrial world. Its framework was agreed upon at the United Nations Monetary and Financial Conference held in July 1944 at Bretton Woods in New Hampshire, USA.
 China had been cut off from the post-war world economy since its revolution in 1949. But new economic policies in China and the collapse of the Soviet Union and Soviet-style communism in Eastern Europe brought many countries back into the fold of the world economy.
 Write in brief 1. Give two examples of different types of global exchanges which took place before the seventeenth century, choosing one example from Asia and one from the Americas.
 3. Write a note to explain the effects of the following: a) The British government’s decision to abolish the Corn Laws. b) The coming of rinderpest to Africa. c) The death of men of working-age in Europe because of the World War. d) The Great Depression on the Indian economy. e) The decision of MNCs to relocate production to Asian countries. 4. Give two examples from history to show the impact of technology on food availability.
 "
Elucidate the significance of Ho Chi Minh‘s trail in the Vietnamese war.  “The Ho Chi Minh Trail became advantageous to Vietnamese in the war against U.S.” Support the statement with arguments. ,"“The Ho Chi Minh Trail became advantageous to Vietnamese in the war against U.S.”  The Trail symbolizes symbolizes how the Vietnamese used their limited resources to great advantage.  The Trail, an immense network network of footpaths and roads was used to transport men and material from North to South.  It was improved in late 1950‘s and from 1967 about 20,000 North Vietnamese troops came south each month. The trail had support bases and hospitals along the way.  Mostly supplies were carried by women porters on their backs or on their bicycles.  The U.S. regularly bombed this trail to disrupt supplies but efforts to destroy this important supply line by intensive bombing failed because they were rebuilt very quickly.  1 × 3 = 3 ","many decades. And, as you have read last year, opium shipments to China grew rapidly from the 1820s to become for a while India’s single largest export. Britain grew opium in India and exported it to China and, with the money earned through this sale, it financed its tea and other imports from China. Over the nineteenth century, British manufactures flooded the Indian market. Food grain and raw material exports from India to Britain and the rest of the world increased. But the value of British exports to India was much higher than the value of British imports from India. Thus Britain had a ‘trade surplus’ with India. Britain used this surplus to balance its trade deficits with other countries – that is, with countries from which Britain was importing more than it was selling to. This is how a multilateral settlement system works – it allows one country’s deficit with another country to be settled by its surplus with a third country. By helping Britain balance its deficits, India played a crucial role in the late-nineteenth-century world economy.
 "
"How did Vietnamese women participate as workers during war with the U.S. ? Explain. [Board Term–II erm–II,, (Set-KCG34U9 ) 2016]","Women were represented not only as warriors but also as workers; they were shown with a rifle in one hand and a hammer in the other. Whether young or old, women began to be depicted as selflessly working and fighting to save the country. As casualties in the war increased in the 1960’s, women were urged to join the struggle in large numbers. 3 ","5 Visualising the Nation While it is easy enough to represent a ruler through a portrait or a statue, how does one go about giving a face to a nation? Artists in the eighteenth and nineteenth centuries found a way out by personifying a nation. In other words they represented a country as if it were a person. Nations were then portrayed as female figures. The female form that was chosen to personify the nation did not stand for any particular woman in real life; rather it sought to give the abstract idea of the nation a concrete form. That is, the female figure became an allegory of the nation. You will recall that during the French Revolution artists used the female allegory to portray ideas such as Liberty, Justice and the Republic. These ideals were represented through specific objects or symbols. As you would remember, the attributes of Liberty are the red cap, or the broken chain, while Justice is generally a blindfolded woman carrying a pair of weighing scales.
 "
Describe the role of women in the Vietnamese struggle during the U.S. intervention. ,Refer to of Q. 3 HOTS Questions.,"Discuss
 2. Discuss the Salt March to make clear why it was an effective symbol of resistance against colonialism. 3. Imagine you are a woman participating in the Civil Disobedience Movement. Explain what the experience meant to your life.
 Discuss
 Discuss
 Discuss
 Discuss
 "
"What were the three proposals regarding Non-cooperation Movement, as suggested by Mahatma Gandhi ? ",Refer to of Q. 13. short Type Ques.  1 × 3= 3,"Box 3
 "
How had the First World War created a new economic situation in India? Explain with three examples. ,"Three points on the First World War’s impact on the economic situation in India are given below :  It speeded up the process of indu strialisation.  It led to a huge rise in the defence expenditure of the Government of India.  It created a demand for industrial goods (jute bags, cloth, rails, etc.) and caused a decline of imports from other countries into India.  ","1 The First World War, Khilafat and Non-Cooperation In the years after 1919, we see the national movement spreading to new areas, incorporating new social groups, and developing new modes of struggle. How do we understand these developments? What implications did they have? First of all, the war created a new economic and political situation. It led to a huge increase in defence expenditure which was financed by war loans and increasing taxes: customs duties were raised and income tax introduced. Through the war years prices increased – doubling between 1913 and 1918 – leading to extreme hardship for the common people. Villages were called upon to supply soldiers, and the forced recruitment in rural areas caused widespread anger. Then in 1918-19 and 1920-21, crops failed in many parts of India, resulting in acute shortages of food. This was accompanied by an influenza epidemic. According to the census of 1921, 12 to 13 million people perished as a result of famines and the epidemic.
 "
Explain the idea of Satyagraha according to  Gandhiji.," The idea of ‘Satyagraha’ emphasized the power of truth and the need to search for truth.   Acco According rding to Gandhiji, without seeking vengeance or being aggressive, a satyagrahi could win the battle through non-violence. ","Source A Mahatma Gandhi on Satyagraha ‘It is said of “passive resistance” that it is the weapon of the weak, but the power which is the subject of this article can be used only by the strong. This power is not passive resistance; indeed it calls for intense activity. The movement in South Africa was not passive but active …
 ‘ Satyagraha is not physical force. A satyagrahi does not inflict pain on the adversary; he does not seek his destruction … In the use of satyagraha, there is no ill-will whatever. ‘ Satyagraha is pure soul-force. Truth is the very substance of the soul. That is why this force is called satyagraha. The soul is informed with knowledge. In it burns the flame of love. … Nonviolence is the supreme dharma … ‘It is certain that India cannot rival Britain or Europe in force of arms. The British worship the war-god and they can all of them become, as they are becoming, bearers of arms. The hundreds of millions in India can never carry arms. They have made the religion of non-violence their own ...’
 ‘ Satyagraha is not physical force. A satyagrahi does not inflict pain on the adversary; he does not seek his destruction … In the use of satyagraha, there is no ill-will whatever. ‘ Satyagraha is pure soul-force. Truth is the very substance of the soul. That is why this force is called satyagraha. The soul is informed with knowledge. In it burns the flame of love. … Nonviolence is the supreme dharma … ‘It is certain that India cannot rival Britain or Europe in force of arms. The British worship the war-god and they can all of them become, as they are becoming, bearers of arms. The hundreds of millions in India can never carry arms. They have made the religion of non-violence their own ...’
 Source
 Activity Read the text carefully. What did Mahatma Gandhi mean when he said satyagraha is active resistance?
 Activity Read the text carefully. What did Mahatma Gandhi mean when he said satyagraha is active resistance?
 Nationalism in India
 the racist regime with a novel method of mass agitation, which he called satyagraha. The idea of satyagraha emphasised the power of truth and the need to search for truth. It suggested that if the cause was true, if the struggle was against injustice, then physical force was not necessary to fight the oppressor. Without seeking vengeance or being aggressive, a satyagrahi could win the battle through nonviolence. This could be done by appealing to the conscience of the oppressor. People – including the oppressors – had to be persuaded to see the truth, instead of being forced to accept truth through the use of violence. By this struggle, truth was bound to ultimately triumph. Mahatma Gandhi believed that this dharma of non-violence could unite all Indians.
 the racist regime with a novel method of mass agitation, which he called satyagraha. The idea of satyagraha emphasised the power of truth and the need to search for truth. It suggested that if the cause was true, if the struggle was against injustice, then physical force was not necessary to fight the oppressor. Without seeking vengeance or being aggressive, a satyagrahi could win the battle through nonviolence. This could be done by appealing to the conscience of the oppressor. People – including the oppressors – had to be persuaded to see the truth, instead of being forced to accept truth through the use of violence. By this struggle, truth was bound to ultimately triumph. Mahatma Gandhi believed that this dharma of non-violence could unite all Indians.
 "
How did d id Mahatma Gandhi successfully organize Satyagraha Movement in various places just after arriving India ? Explain by giving three examples. ,"After arriving India, Mahatma Gandhi successfully organized Satyagraha Movement in various places :  In 1916, he travelled to Champaran in Bihar to inspire the peasants to struggle against the oppressive plantation of Indigo.  In 1917, he organized a Satyagraha to support suppo rt the peasants of the Kheda district of Gujarat who were affected by crop failure and plague epidemic and could not pay the revenue.  In 1918, Mahatma Gandhi went to Ahmedabad to organize Satyagraha Movement amongst cotton mill workers. ","Mahatma Gandhi returned to India in January 1915. As you know, he had come from South Africa where he had successfully fought
 Fig. 2 – Indian workers in South Africa march through Volksrust, 6 November 1913. Mahatma Gandhi was leading the workers from Newcastle to Transvaal. When the marchers were stopped and Gandhiji arrested, thousands of more workers joined the satyagraha against racist laws that denied rights to non-whites.
 Fig. 2 – Indian workers in South Africa march through Volksrust, 6 November 1913. Mahatma Gandhi was leading the workers from Newcastle to Transvaal. When the marchers were stopped and Gandhiji arrested, thousands of more workers joined the satyagraha against racist laws that denied rights to non-whites.
 30 2020-21
 After arriving in India, Mahatma Gandhi successfully organised satyagraha movements in various places. In 1917 he travelled to Champaran in Bihar to inspire the peasants to struggle against the oppressive plantation system. Then in 1917, he organised a satyagraha to support the peasants of the Kheda district of Gujarat. Affected by crop failure and a plague epidemic, the peasants of Kheda could not pay the revenue, and were demanding that revenue collection be relaxed. In 1918, Mahatma Gandhi went to Ahmedabad to organise a satyagraha movement amongst cotton mill workers.
 After arriving in India, Mahatma Gandhi successfully organised satyagraha movements in various places. In 1917 he travelled to Champaran in Bihar to inspire the peasants to struggle against the oppressive plantation system. Then in 1917, he organised a satyagraha to support the peasants of the Kheda district of Gujarat. Affected by crop failure and a plague epidemic, the peasants of Kheda could not pay the revenue, and were demanding that revenue collection be relaxed. In 1918, Mahatma Gandhi went to Ahmedabad to organise a satyagraha movement amongst cotton mill workers.
 "
