question,answer,context
Describe why the Konkani peasants welcome the Dhangars?,"(i) By October the Dhangars harvested their bajra and started their move in west. (ii) After a march of about a month they reach Konkan. (iii) This was a flourishing agricultural tract with high rainfall and rich soil. (iv) Here the shepherds were welcomed by Konkani peasants. (v) After the kharif harvest was cut at this time, the field had to be fertilised and made ready for the rabi harvest. (vi) Dhangar flocks manured the fields and fed on stubble. (vii) The Konkan peasants also give supplies of rice which the shepherds took back to the plateau where grain was scarce.","Dhangars were an important pastoral community of Maharashtra. In the early twentieth century their population in this region was estimated to be 467,000. Most of them were shepherds, some were blanket weavers, and still others were buffalo herders. The Dhangar shepherds stayed in the central plateau of Maharashtra during the monsoon. This was a semi-arid region with low rainfall and poor soil. It was covered with thorny scrub. Nothing but dry crops like bajra could be sown here. In the monsoon this tract became a vast grazing ground for the Dhangar flocks. By October the Dhangars harvested their bajra and started on their move west. After a march of about a month they reached the Konkan. This was a flourishing agricultural tract with high rainfall and rich soil. Here the shepherds
 Fig.5 – Raika camels grazing on the Thar desert in western Rajasthan. Only camels can survive on the dry and thorny bushes that can be found here; but to get enough feed they have to graze over a very extensive area.
 were welcomed by Konkani peasants. After the kharif harvest was cut at this time, the fields had to be fertilised and made ready for the rabi harvest. Dhangar flocks manured the fields and fed on the stubble. The Konkani peasants also gave supplies of rice which the shepherds took back to the plateau where grain was scarce. With the onset of the monsoon the Dhangars left the Konkan and the coastal areas with their flocks and returned to their settlements on the dry plateau. The sheep could not tolerate the wet monsoon conditions. 100 2020-21
 were welcomed by Konkani peasants. After the kharif harvest was cut at this time, the fields had to be fertilised and made ready for the rabi harvest. Dhangar flocks manured the fields and fed on the stubble. The Konkani peasants also gave supplies of rice which the shepherds took back to the plateau where grain was scarce. With the onset of the monsoon the Dhangars left the Konkan and the coastal areas with their flocks and returned to their settlements on the dry plateau. The sheep could not tolerate the wet monsoon conditions. 100 2020-21
 New words Kharif – The autumn crop, usually harvested between September and October Rabi – The spring crop, usually harvested after March Stubble – Lower ends of grain stalks left in the ground after harvesting
 In Karnataka and Andhra Pradesh, again, the dry central plateau was covered with stone and grass, inhabited by cattle, goat and sheep herders. The Gollas herded cattle. The Kurumas and Kurubas reared sheep and goats and sold woven blankets. They lived near the woods, cultivated small patches of land, engaged in a variety of petty trades and took care of their herds. Unlike the mountain pastoralists, it was not the cold and the snow that defined the seasonal rhythms of their movement: rather it was the alternation of the monsoon and dry season. In the dry season they moved to the coastal tracts, and left when the rains came. Only buffaloes liked the swampy, wet conditions of the coastal areas during the monsoon months. Other herds had to be shifted to the dry plateau at this time. Banjaras were yet another well-known group of graziers. They were to be found in the villages of Uttar Pradesh, Punjab, Rajasthan, Madhya Pradesh and Maharashtra. In search of good pastureland for their cattle, they moved over long distances, selling plough cattle and other goods to villagers in exchange for grain and fodder. Source B The accounts of many travellers tell us about the life of pastoral groups. In the early nineteenth century, Buchanan visited the Gollas during his travel through Mysore. He wrote: ‘Their families live in small villages near the skirt of the woods, where they cultivate a little ground, and keep some of their cattle, selling in the towns the produce of the dairy. Their families are very numerous, seven to eight young men in each being common. Two or three of these attend the flocks in the woods, while the remainder cultivate their fields, and supply the towns with firewood, and with straw for thatch.’
 "
"How did Chiefs of African tribes appointed by the Government accumulate wealth over time, during the colonial rule? How did the British carry out the administration of the Maasais?","(i) The British appointed Chiefs of different sub-groups of the Maasais, who were made responsible for the affairs of the tribe. (ii) They imposed restrictions on raiding and warfare, thereby restricting the authority of elders and warriors. (iii) The Chiefs often collected wealth over time. They had a regular income with which they could buy animals, goods and land. (iv) They lent money to poor neighbours who needed cash to pay taxes. Many of them began to live in towns as traders. (v) These Chiefs managed to survive amid the devastations of war and drought. (vi) They had now both pastoral and non-pastoral income and could buy animals when their stock was depleted.","To administer the affairs of the Maasai, the British introduced a series of measures that had important implications. They appointed chiefs of different sub-groups of Maasai, who were made responsible for the affairs of the tribe. The British imposed various restrictions on raiding and warfare. Consequently, the traditional authority of both elders and warriors was adversely affected. The chiefs appointed by the colonial government often accumulated wealth over time. They had a regular income with which they could buy animals, goods and land. They lent money to poor neighbours who needed cash to pay taxes. Many of them began living in towns, and became involved in trade. Their wives and children stayed back in the villages to look after the animals. These chiefs managed to survive the devastations of war and drought. They had both pastoral and non-pastoral income, and could buy animals when their stock was depleted. But the life history of the poor pastoralists who depended only on their livestock was different. Most often, they did not have the resources to tide over bad times. In times of war and famine, they lost nearly everything. They had to go looking for work in the towns. Some eked out a living as charcoal burners, others did odd jobs. The lucky could get more regular work in road or building construction. The social changes in Maasai society occurred at two levels. First, the traditional difference based on age, between the elders 114 2020-21
 "
Give any five reasons to explain why the cattle stock of the Maasais decreased under colonial rule. ,"(i) From the colonial period, the Maasais were bound down to a fixed area, confined within a reserve, and prohibited from moving in search of pastures. (ii) They were cut off from the best grazing grounds and forced to live within a semi-arid tracts prone to frequent droughts. (iii) Since they could not shift their cattle to places where pastures were available, large number of Maasais cattle died of starvation and disease in these years of drought. (iv) In just two years of severe drought, 1933-34 over half the cattle in the Maasai Reserve died. (v) The frequent bad years led to a steady decline of the animal stock of Pastoralists.  ","We will discuss some of these changes by looking at one pastoral community – the Maasai – in some detail. The Maasai cattle herders live primarily in east Africa: 300, 000 in southern Kenya and another 150,000 in Tanzania. We will see how new laws and regulations took away their land and restricted their movement. This affected their lives in times of drought and even reshaped their social relationships.
 south Kenya and north Tanzania. The Maasai lost about 60 per cent of their pre-colonial lands. They were confined to an arid zone with uncertain rainfall and poor pastures. From the late nineteenth century, the British colonial government in east Africa also encouraged local peasant communities to expand cultivation. As cultivation expanded, pasturelands were turned into cultivated fields. In pre-colonial times, the Maasai pastoralists had dominated their agricultural neighbours both economically and politically. By the end of colonial rule the situation had reversed.
 3.3 When Pastures Dry Drought affects the life of pastoralists everywhere. When rains fail and pastures are dry, cattle are likely to starve unless they can be moved to areas where forage is available. That is why, traditionally, pastoralists are nomadic; they move from place to place. This nomadism allows them to survive bad times and avoid crises. But from the colonial period, the Maasai were bound down to a fixed area, confined within a reserve, and prohibited from moving in search of pastures. They were cut off from the best grazing lands and forced to live within a semi-arid tract prone to frequent droughts. Since they could not shift their cattle to places where pastures were available, large numbers of Maasai cattle died of starvation and disease in these years of drought. An enquiry in 1930 showed that the Maasai in Kenya possessed 720,000 cattle, 820,000 sheep and 171,000 donkeys. In just two years of severe drought, 1933 and 1934, over half the cattle in the Maasai Reserve died. As the area of grazing lands shrank, the adverse effect of the droughts increased in intensity. The frequent bad years led to a steady decline of the animal stock of the pastoralists.
 "
How was the taxation policy responsible for the French Revolution?,"(i) The French were divided into three estates—First, Second and Third estates respectively. (ii) First and Second estates which formed 10 per cent of the total population were clergy and nobles. They enjoyed all privileges. (iii) Rest of the 90 percent population of the third estate paid all kinds of direct or indirect taxes, member of Third estate believe that no group in society should be privileged by birth.","1 French Society During the Late Eighteenth Century In 1774, Louis XVI of the Bourbon family of kings ascended the throne of France. He was 20 years old and married to the Austrian princess Marie Antoinette. Upon his accession the new king found an empty treasury. Long years of war had drained the financial resources of France. Added to this was the cost of maintaining an extravagant court at the immense palace of Versailles. Under Louis XVI, France helped the thirteen American colonies to gain their independence from the common enemy, Britain. The war added more than a billion livres to a debt that had already risen to more than 2 billion livres. Lenders who gave the state credit, now began to charge 10 per cent interest on loans. So the French government was obliged to spend an increasing percentage of its budget on interest payments alone. To meet its regular expenses, such as the cost of maintaining an army, the court, running government offices or universities, the state was forced to increase taxes. Yet even this measure would not have sufficed. French society in the eighteenth century was divided into three estates, and only members of the third estate paid taxes.
 India and the Contemporary World
 The society of estates was part of the feudal system that dated back to the middle ages. The term Old Regime is usually used to describe the society and institutions of France before 1789. Fig. 2 shows how the system of estates in French society was organised. Peasants made up about 90 per cent of the population. However, only a small number of them owned the land they cultivated. About 60 per cent of the land was owned by nobles, the Church and other richer members of the third estate. The members of the first two estates, that is, the clergy and the nobility, enjoyed certain privileges by birth. The most important of these was exemption from paying taxes to the state. The nobles further enjoyed feudal privileges. These included feudal dues, which they extracted from the peasants. Peasants were obliged to render services to the lord – to work in his house and fields – to serve in the army or to participate in building roads. The Church too extracted its share of taxes called tithes from the peasants, and finally, all members of the third estate had to pay taxes to the state. These included a direct tax, called taille, and a number of indirect taxes which were levied on articles of everyday consumption like salt or tobacco. The burden of financing activities of the state through taxes was borne by the third estate alone. 4 2020-21
 The society of estates was part of the feudal system that dated back to the middle ages. The term Old Regime is usually used to describe the society and institutions of France before 1789. Fig. 2 shows how the system of estates in French society was organised. Peasants made up about 90 per cent of the population. However, only a small number of them owned the land they cultivated. About 60 per cent of the land was owned by nobles, the Church and other richer members of the third estate. The members of the first two estates, that is, the clergy and the nobility, enjoyed certain privileges by birth. The most important of these was exemption from paying taxes to the state. The nobles further enjoyed feudal privileges. These included feudal dues, which they extracted from the peasants. Peasants were obliged to render services to the lord – to work in his house and fields – to serve in the army or to participate in building roads. The Church too extracted its share of taxes called tithes from the peasants, and finally, all members of the third estate had to pay taxes to the state. These included a direct tax, called taille, and a number of indirect taxes which were levied on articles of everyday consumption like salt or tobacco. The burden of financing activities of the state through taxes was borne by the third estate alone. 4 2020-21
 3rd estate Big businessmen, merchants, court officials, lawyers etc. Peasants and artisans Small peasants, landless labour, servants
 Fig.2 – A Society of Estates. Note that within the Third Estate some were rich and others poor.
 "
What were the causes for the empty treasury of France under Louis XVI? Assess any three causes.,"(i) When Louis XVI became king the treasury of France was empty as most of the French kings were involved in wars which emptied their treasury. (ii) Louis, XVI and wife Mari Antoinette were also extragrant and spent a lot of money of treasury for herself only. (iii) France fought a lot of war while supporting American colonies in their war of independence against G. Britain. This also added to the cause for the empty treasury.","1 French Society During the Late Eighteenth Century In 1774, Louis XVI of the Bourbon family of kings ascended the throne of France. He was 20 years old and married to the Austrian princess Marie Antoinette. Upon his accession the new king found an empty treasury. Long years of war had drained the financial resources of France. Added to this was the cost of maintaining an extravagant court at the immense palace of Versailles. Under Louis XVI, France helped the thirteen American colonies to gain their independence from the common enemy, Britain. The war added more than a billion livres to a debt that had already risen to more than 2 billion livres. Lenders who gave the state credit, now began to charge 10 per cent interest on loans. So the French government was obliged to spend an increasing percentage of its budget on interest payments alone. To meet its regular expenses, such as the cost of maintaining an army, the court, running government offices or universities, the state was forced to increase taxes. Yet even this measure would not have sufficed. French society in the eighteenth century was divided into three estates, and only members of the third estate paid taxes.
 "
"‘While the National Assembly’ was busy at Versailles drafting constitution, the rest of France seethed with turmoil. State the statement whether this is true or false. Explain.","● It is true as when National Assembly was busy in drafting constitution rest of France was in turmoil. ● Due to bad harvest in winter, prices of bread rose to that level that common people could not afford to buy. ● People started hoarding supplies, therefore women who were standing in long queues in bakery, crowds of angry women, stormed into the shops and looted the bread.","While the National Assembly was busy at Versailles drafting a constitution, the rest of France seethed with turmoil. A severe winter had meant a bad harvest; the price of bread rose, often bakers exploited the situation and hoarded supplies. After spending hours in long queues at the bakery, crowds of angry women stormed into the shops. At the same time, the king ordered troops to move into Paris. On 14 July, the agitated crowd stormed and destroyed the Bastille.
 "
"Explain any five features of the constitution of 1791, framed by the National Assembly in France. ","The five features of constitution of France are: (i) Constitutional Monarchy: The constitution made France a constitutional monarchy. In this system, monarch would remain monarch but all legislative powers would be transferred to the National Assembly. (ii) National Assembly: It was indirectly elected. In it, citizens voted for a group of electors, who in turn chose the assembly. Once chosen, National Assembly would keep a control on the country. (iii) Right to Vote: However, not all citizens had the right to vote; only men above 25 years of age, who paid taxes equal to at least 3 days of a labourer’s wage were given the status of active citizens. Only active citizens were entitled to vote. (iv) Powers of National Assembly: National Assembly had the power to make laws. It is voted by about 50,000 electors and constituted of 745 members. It could keep control on both king and the ministers. (v) Declaration of Rights of Man and Citizens: The constitution began with the Declaration of the Rights of Man and Citizens. Rights such as the right to life, freedom of speech, freedom of opinion, equality before law, were established as natural and inalienable rights.","2.1 France Becomes a Constitutional Monarchy The National Assembly completed the draft of the constitution in 1791. Its main object was to limit the powers of the monarch. These powers instead of being concentrated in the hands of one person, were now separated and assigned to different institutions – the legislature, executive and judiciary. This made France a constitutional monarchy. Fig. 7 explains how the new political system worked.
 "
Why was Robespierre Guillotined? What was Guillotine? How was it used?,"Robespierre introduced Reign of Terror when he followed the policy of severe control and punishment in France. (i) Guillotine was a device consisting of two poles and a blade with which a person is beheaded. It was named after Dr. Guillotine, who invented it. (ii) Robespierre was convicted by the court in July 1794, arrested and on the next day sent to the guillotine and killed in the same manner he punished guilty people.","Louis XVI was sentenced to death by a court on the charge of treason. On 21 January 1793 he was executed publicly at the Place de la Concorde. The queen Marie Antoinette met with the same fate shortly after.
 3.1 The Reign of Terror The period from 1793 to 1794 is referred to as the Reign of Terror. Robespierre followed a policy of severe control and punishment. All those whom he saw as being ‘enemies’ of the Source D republic – ex-nobles and clergy, members of other political parties, even members of his own party who did not agree with What is liberty? Two conflicting views: his methods – were arrested, imprisoned and then tried by a The revolutionary journalist Camille Desmoulins wrote the following in 1793. He revolutionary tribunal. If the court found them ‘guilty’ they was executed shortly after, during the Reign were guillotined. The guillotine is a device consisting of two of Terror. poles and a blade with which a person is beheaded. It was named ‘Some people believe that Liberty is like a after Dr Guillotin who invented it. child, which needs to go through a phase of
 3.1 The Reign of Terror The period from 1793 to 1794 is referred to as the Reign of Terror. Robespierre followed a policy of severe control and punishment. All those whom he saw as being ‘enemies’ of the Source D republic – ex-nobles and clergy, members of other political parties, even members of his own party who did not agree with What is liberty? Two conflicting views: his methods – were arrested, imprisoned and then tried by a The revolutionary journalist Camille Desmoulins wrote the following in 1793. He revolutionary tribunal. If the court found them ‘guilty’ they was executed shortly after, during the Reign were guillotined. The guillotine is a device consisting of two of Terror. poles and a blade with which a person is beheaded. It was named ‘Some people believe that Liberty is like a after Dr Guillotin who invented it. child, which needs to go through a phase of
 India and the Contemporary World
 Robespierre’s government issued laws placing a maximum ceiling on wages and prices. Meat and bread were rationed. Peasants were forced to transport their grain to the cities and sell it at prices fixed by the government. The use of more expensive white flour was forbidden; all citizens were required to eat the pain d’égalité (equality bread), a loaf made of wholewheat. Equality was also sought to be practised through forms of speech and address. Instead of the traditional Monsieur (Sir) and Madame (Madam) all French men and women were henceforth Citoyen and Citoyenne (Citizen). Churches were shut down and their buildings converted into barracks or offices. Robespierre pursued his policies so relentlessly that even his supporters began to demand moderation. Finally, he was convicted by a court in July 1794, arrested and on the next day sent to the guillotine.
 "
“One of the most revolutionary social reforms of the Jacobin regime was the abolition of slavery in the French Colonies. Justify the statement.,"● The Jacobin club was formed by Maximilian Robespierre: ● Slave trade was already existing in France from 17th century. ● French merchants also sailed to the African coast to buy slaves from their local chieftains.  ● Its members were from less prosperous sections of society. A large number of members of the Jacobin club decided to wear long striped trousers to look apart and also wore red caps to symbolize liberty. ● When Jacobins came to power, Monarchy was abolished and National Assembly was formed. ● They passed a law in 1794 to free all the slaves in the French colonies.  ","The revolutionary wars brought losses and economic difficulties to the people. While the men were away fighting at the front, women were left to cope with the tasks of earning a living and looking after their families. Large sections of the population were convinced that the revolution had to be carried further, as the Constitution of 1791 gave political rights only to the richer sections of society. Political clubs became an important rallying point for people who wished to discuss government policies and plan their own forms of action. The most successful of these clubs was that of the Jacobins, which got its name from the former convent of St Jacob in Paris. Women too, who had been active throughout this period, formed their own clubs. Section 4 of this chapter will tell you more about their activities and demands. The members of the Jacobin club belonged mainly to the less prosperous sections of society. They included small shopkeepers, artisans such as shoemakers, pastry cooks, watch-makers, printers, as well as servants and daily-wage workers. Their leader was Maximilian Robespierre. A large group among the Jacobins decided to start wearing long striped trousers similar to those worn by dock workers. This was to set themselves apart from the fashionable sections of society, especially nobles, who wore knee breeches. It New words Convent – Building belonging to a community devoted to a religious life 14 2020-21
 "
When and why did the forests around the railway tracks start disappearing very fast? Explain.,"(i) The spread of railways from 1850s created a new demand for timber. (ii) Railway was needed for the spread of trade in India. (iii) To run locomotives, wood was needed as fuel and to lay railway lines, sleepers were required to hold the tracks together. (iv) As the railway tracks spread, a large number of trees were felled. (v) The Government gave contracts to individuals to supply timber. (vi) These contractors began cutting trees indiscriminately.","By the early nineteenth century, oak forests in England were disappearing. This created a problem of timber supply for the Royal Navy. How could English ships be built without a regular supply of strong and durable timber? How could imperial power be protected and maintained without ships? By the 1820s, search parties were sent to explore the forest resources of India. Within a decade, trees were being felled on a massive scale and vast quantities of timber were being exported from India. The spread of railways from the 1850s created a new demand. Railways were essential for colonial trade and for the movement of imperial troops. To run locomotives, wood was needed as fuel, and to lay railway lines sleepers were essential to hold the tracks together. Each mile of railway track required between 1,760 and 2,000 sleepers.
 "
