question,answer,context
How ‘Nazi Party’ was formed?,(i) Hitler joined a small group called German Workers Party. (ii) He subsequently took over the organisation and renamed it National Socialist German Workers Party. (iii) This party came to be known as ‘Nazi Party’.,"2 Hitler’s Rise to Power This crisis in the economy, polity and society formed the background to Hitler’s rise to power. Born in 1889 in Austria, Hitler spent his youth in poverty. When the First World War broke out, he enrolled for the army, acted as a messenger in the front, became a corporal, and earned medals for bravery. The German defeat horrified him and the Versailles Treaty made him furious. In 1919, he joined a small group called the German Workers’ Party. He subsequently took over the organisation and renamed it the National Socialist German Workers’ Party. This party came to be known as the Nazi Party.
 India and the Contemporary World
 In 1923, Hitler planned to seize control of Bavaria, march to Berlin and capture power. He failed, was arrested, tried for treason, and later released. The Nazis could not effectively mobilise popular support till the early 1930s. It was during the Great Depression that Nazism became a mass movement. As we have seen, after 1929, banks collapsed and businesses shut down, workers lost their jobs and the middle classes were threatened with destitution. In such a situation Nazi propaganda stirred hopes of a better future. In 1928, the Nazi Party got no more than 2. 6 per cent votes in the Reichstag – the German parliament. By 1932, it had become the largest party with 37 per cent votes.
 "
Write a short note on the eleven-year-old Helmuth’s experiences in Germany.,"Helmuth was in bed when he heard his parents discussing something seriously. His father was a doctor, who was discussing with his wife that either they had to commit suicide or the Jews would kill them for revenge. Next day, the father spent some time with his son Helmuth and later, shot himself in his office. His uniform was silently burnt in the family’s fireplace. Helmuth was so traumatised by this incident that he refused to eat at home for the fear that his mother would poison him. This was the tragic end of his father, who was a Nazi supporter.","Nazism and the Rise of Hitler In the spring of 1945, a little eleven-year-old German boy called Helmuth was lying in bed when he overheard his parents discussing something in serious tones. His father, a prominent physician, deliberated with his wife whether the time had come to kill the entire family, or if he should commit suicide alone. His father spoke about his fear of revenge, saying, ‘Now the Allies will do to us what we did to the crippled and Jews.’ The next day, he took Helmuth to the woods, where they spent their last happy time together, singing old children’s songs. Later, Helmuth’s father shot himself in his office. Helmuth remembers that he saw his father’s bloody uniform being burnt in the family fireplace. So traumatised was he by what he had overheard and what had happened, that he reacted by refusing to eat at home for the following nine years! He was afraid that his mother might poison him.
 Nazism the Nazism andand the Rise of Hitler Rise of Hitler
 Although Helmuth may not have realised all that it meant, his father had been a Nazi and a supporter of Adolf Hitler. Many of you will know something about the Nazis and Hitler. You probably know of Hitler’s determination to make Germany into a mighty power and his ambition of conquering all of Europe. You may have heard that he killed Jews. But Nazism was not one or two isolated acts. It was a system, a structure of ideas about the world and politics. Let us try and understand what Nazism was all about. Let us see why Helmuth’s father killed himself and what the basis of his fear was. In May 1945, Germany surrendered to the Allies. Anticipating what was coming, Hitler, his propaganda minister Goebbels and his entire family committed suicide collectively in his Berlin bunker in April. At the end of the war, an International Military Tribunal at Nuremberg was set up to prosecute Nazi war criminals for Crimes against Peace, for War Crimes and Crimes Against Humanity. Germany’s conduct during the war, especially those actions which
 "
What do you understand by the ‘Genocidal War’ in Germany?,"(i) It means the mass murder of selected groups of innocent civilians of Europe. Nazis killed the Jews, Gypsies and the Polish civilians. (ii) They killed people in poisoned gas chambers. (iii) Number of people killed included six million Jews, 2,00,000 Gypsies, one million Polish civilians, 70,000 Germans, who were considered mentally and physically disabled besides many political opponents.","came to be called Crimes Against Humanity, raised serious moral and ethical questions and invited worldwide condemnation. What were these acts? Under the shadow of the Second World War, Germany had waged a genocidal war, which resulted in the mass murder of selected groups of innocent civilians of Europe. The number of people killed included 6 million Jews, 200,000 Gypsies, 1 million Polish civilians, 70,000 Germans who were considered mentally and physically disabled, besides innumerable political opponents. Nazis devised an unprecedented means of killing people, that is, by gassing them in various killing centres like Auschwitz. The Nuremberg Tribunal sentenced only eleven leading Nazis to death. Many others were imprisoned for life. The retribution did come, yet the punishment of the Nazis was far short of the brutality and extent of their crimes. The Allies did not want to be as harsh on defeated Germany as they had been after the First World War. Everyone came to feel that the rise of Nazi Germany could be partly traced back to the German experience at the end of the First World War.
 "
How did the economic crisis begin in the USA?,"In USA, it began with the crash of the Wall Street Exchange in 1929, when USA could not recover back loans. Fearing a fall in price, people made frantic efforts to sell their shares. On a single day, 13 million shares were sold. Factories shut down, banks became bankrupt, exports fell, farmers were badly hit, leading to unemployment.","The years between 1924 and 1928 saw some stability. Yet this was built on sand. German investments and industrial recovery were totally dependent on short-term loans, largely from the USA. This support was withdrawn when the Wall Street Exchange crashed in 1929. Fearing a fall in prices, people made frantic efforts to sell their shares. On one single day, 24 October, 13 million shares were sold. This was the start of the Great Economic Depression. Over the next three years, between 1929 and 1932, the national income of the USA fell by half. Factories shut down, exports fell, farmers were badly hit and speculators withdrew their money from the market. The effects of this recession in the US economy were felt worldwide.
 Fig.5 – Homeless men queuing up for a night’s shelter, 1923.
 The German economy was the worst hit by the economic crisis. By 1932, industrial production was reduced to 40 per cent of the 1929 level. Workers lost their jobs or were paid reduced wages. The number of unemployed touched an unprecedented 6 million. On the streets of Germany you could see men with placards around their necks saying, ‘Willing to do any work’. Unemployed youths played cards or simply sat at street corners, or desperately queued up at the local employment exchange. As jobs disappeared, the youth took to criminal activities and total despair became commonplace. The economic crisis created deep anxieties and fears in people. The middle classes, especially salaried employees and pensioners, saw their savings diminish when the currency lost its value. Small businessmen, the self-employed and retailers suffered as their New words Wall Street Exchange – The name of the world’s biggest stock exchange located in the USA.
 "
Describe the formation of the Nazi Party.,"Economic crisis formed the background to Hitler’s rise to power. Hitler was born in Austria and spent his youth in poverty. In the First World War, he  joined the army and acted as messenger in the front. The Treaty of Versailles and the defeat of Germany in World War I made him furious and horrified. In 1919, he joined a small group called the ‘German Workers Party’ and renamed it after taking over that party as, ‘The National Socialist German Workers’ Party’. This party later on, came to be known as the ‘Nazi Party’.","2 Hitler’s Rise to Power This crisis in the economy, polity and society formed the background to Hitler’s rise to power. Born in 1889 in Austria, Hitler spent his youth in poverty. When the First World War broke out, he enrolled for the army, acted as a messenger in the front, became a corporal, and earned medals for bravery. The German defeat horrified him and the Versailles Treaty made him furious. In 1919, he joined a small group called the German Workers’ Party. He subsequently took over the organisation and renamed it the National Socialist German Workers’ Party. This party came to be known as the Nazi Party.
 India and the Contemporary World
 In 1923, Hitler planned to seize control of Bavaria, march to Berlin and capture power. He failed, was arrested, tried for treason, and later released. The Nazis could not effectively mobilise popular support till the early 1930s. It was during the Great Depression that Nazism became a mass movement. As we have seen, after 1929, banks collapsed and businesses shut down, workers lost their jobs and the middle classes were threatened with destitution. In such a situation Nazi propaganda stirred hopes of a better future. In 1928, the Nazi Party got no more than 2. 6 per cent votes in the Reichstag – the German parliament. By 1932, it had become the largest party with 37 per cent votes.
 "
How did Hitler capture power in Germany? What do you know about Hitler’s personality?,"Hitler was a powerful speaker. His passion and his words moved and inspired people. In 1923, Hitler marched to Berlin with his followers to capture power. He failed and was arrested for treason and later released. But during the Great Depression, Nazism became a mass movement. During the economic depression, the Nazi propaganda stirred hopes of a better future. By 1932, the Nazi Party had become the largest party and Hitler became the chancellor of Germany.","2 Hitler’s Rise to Power This crisis in the economy, polity and society formed the background to Hitler’s rise to power. Born in 1889 in Austria, Hitler spent his youth in poverty. When the First World War broke out, he enrolled for the army, acted as a messenger in the front, became a corporal, and earned medals for bravery. The German defeat horrified him and the Versailles Treaty made him furious. In 1919, he joined a small group called the German Workers’ Party. He subsequently took over the organisation and renamed it the National Socialist German Workers’ Party. This party came to be known as the Nazi Party.
 India and the Contemporary World
 In 1923, Hitler planned to seize control of Bavaria, march to Berlin and capture power. He failed, was arrested, tried for treason, and later released. The Nazis could not effectively mobilise popular support till the early 1930s. It was during the Great Depression that Nazism became a mass movement. As we have seen, after 1929, banks collapsed and businesses shut down, workers lost their jobs and the middle classes were threatened with destitution. In such a situation Nazi propaganda stirred hopes of a better future. In 1928, the Nazi Party got no more than 2. 6 per cent votes in the Reichstag – the German parliament. By 1932, it had become the largest party with 37 per cent votes.
 In 1923, Hitler planned to seize control of Bavaria, march to Berlin and capture power. He failed, was arrested, tried for treason, and later released. The Nazis could not effectively mobilise popular support till the early 1930s. It was during the Great Depression that Nazism became a mass movement. As we have seen, after 1929, banks collapsed and businesses shut down, workers lost their jobs and the middle classes were threatened with destitution. In such a situation Nazi propaganda stirred hopes of a better future. In 1928, the Nazi Party got no more than 2. 6 per cent votes in the Reichstag – the German parliament. By 1932, it had become the largest party with 37 per cent votes.
 "
What promises did Hitler make to the Germans when he came to power?,(i) He promised to build a strong nation and undo the justice of Treaty of Versailles and restore the dignity of the German people. (ii) He promised employment for those looking for work. (iii) He promised to protect Germany from all foreign influences and secure his country’s future.,"This republic, however, was not received well by its own people largely because of the terms it was forced to accept after Germany’s defeat at the end of the First World War. The peace treaty at
 Versailles with the Allies was a harsh and humiliating peace. Germany lost its overseas colonies, a tenth of its population, 13 per cent of its territories, 75 per cent of its iron and 26 per cent of its coal to France, Poland, Denmark and Lithuania. The Allied Powers demilitarised Germany to weaken its power. The War Guilt Clause held Germany responsible for the war and damages the Allied countries suffered. Germany was forced to pay compensation amounting to £6 billion. The Allied armies also occupied the resource-rich Rhineland for much of the 1920s. Many Germans held the new Weimar Republic responsible for not only the defeat in the war but the disgrace at Versailles.
 Hitler was a powerful speaker. His passion and his words moved people. He promised to build a strong nation, undo the injustice of the Versailles Treaty and restore the dignity of the German people. He promised employment for those looking for work, and a secure future for the youth. He promised to weed out all foreign influences and resist all foreign ‘conspiracies’ against Germany.
 "
Give a brief account of Hitler’s entry into World War–II.,"In September 1939, Germany invaded Poland with the result that it started a war with France and England. In September 1940, Tripartite Pact with Italy and Japan and Germany was signed. By the end of 1940, Hitler had almost won all the wars. Hitler attacked the Soviet Union in June 1941. The Soviet Red Army gave a crushing defeat to the German soldiers. In the meantime, the US also entered the war when the Japanese bombed the US base at Pearl Harbor. The war ended in May 1945, with Hitler’s defeat and US dropping of atom bomb on Hiroshima in Japan.","Fig.11 – Expansion of Nazi power: Europe 1942.
 59 2020-21
 economic crisis. Resources were to be accumulated through expansion of territory. In September 1939, Germany invaded Poland. This started a war with France and England. In September 1940, a Tripartite Pact was signed between Germany, Italy and Japan, strengthening Hitler’s claim to international power. Puppet regimes, supportive of Nazi Germany, were installed in a large part of Europe. By the end of 1940, Hitler was at the pinnacle of his power. Hitler now moved to achieve his long-term aim of conquering Eastern Europe. He wanted to ensure food supplies and living space for Germans. He attacked the Soviet Union in June 1941. In this historic blunder Hitler exposed the German western front to British aerial bombing and the eastern front to the powerful Soviet armies. The Soviet Red Army inflicted a crushing and humiliating defeat on Germany at Stalingrad. After this the Soviet Red Army hounded out the retreating German soldiers until they reached the heart of Berlin, establishing Soviet hegemony over the entire Eastern Europe for half a century thereafter.
 economic crisis. Resources were to be accumulated through expansion of territory. In September 1939, Germany invaded Poland. This started a war with France and England. In September 1940, a Tripartite Pact was signed between Germany, Italy and Japan, strengthening Hitler’s claim to international power. Puppet regimes, supportive of Nazi Germany, were installed in a large part of Europe. By the end of 1940, Hitler was at the pinnacle of his power. Hitler now moved to achieve his long-term aim of conquering Eastern Europe. He wanted to ensure food supplies and living space for Germans. He attacked the Soviet Union in June 1941. In this historic blunder Hitler exposed the German western front to British aerial bombing and the eastern front to the powerful Soviet armies. The Soviet Red Army inflicted a crushing and humiliating defeat on Germany at Stalingrad. After this the Soviet Red Army hounded out the retreating German soldiers until they reached the heart of Berlin, establishing Soviet hegemony over the entire Eastern Europe for half a century thereafter.
 India and the Contemporary World
 Meanwhile, the USA had resisted involvement in the war. It was unwilling to once again face all the economic problems that the First World War had caused. But it could not stay out of the war for long. Japan was expanding its power in the east. It had occupied French Indo-China and was planning attacks on US naval bases in the Pacific. When Japan extended its support to Hitler and bombed the US base at Pearl Harbor, the US entered the Second World War. The war ended in May 1945 with Hitler’s defeat and the US dropping of the atom bomb on Hiroshima in Japan. From this brief account of what happened in the Second World War, we now return to Helmuth and his father’s story, a story of Nazi criminality during the war.
 "
What was Hitler’s ideology?,Hitler’s ideology was related to the geopolitical concept of living space. He believed that new territories had to be acquired for settlement. This would enhance the area of the mother country and it would also enhance the material resources and power of the German nation. ,"Hitler intended to extend German boundaries by moving eastwards, to concentrate all Germans geographically in one place. Poland became the laboratory for this experimentation.
 "
How did the Nazis develop a hatred for the Jews?,"Nazis believed that the Jews were the killers of Christ. Until medieval times, Jews were not allowed to own any land. They survived mainly through trade and moneylending. They lived in separately marked areas called the ghettos. Hitler’s hatred for the Jews was based on pseudoscientific theories of race. They were terrorised, segregated and compelled to leave the country. During World War II, they were killed in gas chambers in Poland.","Jews remained the worst sufferers in Nazi Germany. Nazi hatred of Jews had a precursor in the traditional Christian hostility towards Jews. They had been stereotyped as killers of Christ and usurers.Until medieval times Jews were barred from owning land. They survived mainly through trade and moneylending. They lived in separately marked areas called ghettos. They were often persecuted through periodic organised violence, and expulsion from the land. However, Hitler’s hatred of Jews was based on pseudoscientific theories of race, which held that conversion was no solution to ‘the Jewish problem’. It could be solved only through their total elimination. From 1933 to 1938 the Nazis terrorised, pauperised and segregated the Jews, compelling them to leave the country. The next phase, 1939-1945, aimed at concentrating them in certain areas and eventually killing them in gas chambers in Poland.
 "
