question,answer,context
Who was Hitler’s propoganda Minister?,Goebbels.,"Fig.1 – Hitler (centre) and Goebbels (left) leaving after an official meeting, 1932.
 "
How Hitler’s end came?,"Hitler, his Propoganda Minister Goebbels and his entire family committed suicide collectively in his Berlin bunker on 30 April, 1945.","Nazism and the Rise of Hitler In the spring of 1945, a little eleven-year-old German boy called Helmuth was lying in bed when he overheard his parents discussing something in serious tones. His father, a prominent physician, deliberated with his wife whether the time had come to kill the entire family, or if he should commit suicide alone. His father spoke about his fear of revenge, saying, ‘Now the Allies will do to us what we did to the crippled and Jews.’ The next day, he took Helmuth to the woods, where they spent their last happy time together, singing old children’s songs. Later, Helmuth’s father shot himself in his office. Helmuth remembers that he saw his father’s bloody uniform being burnt in the family fireplace. So traumatised was he by what he had overheard and what had happened, that he reacted by refusing to eat at home for the following nine years! He was afraid that his mother might poison him.
 Nazism the Nazism andand the Rise of Hitler Rise of Hitler
 Although Helmuth may not have realised all that it meant, his father had been a Nazi and a supporter of Adolf Hitler. Many of you will know something about the Nazis and Hitler. You probably know of Hitler’s determination to make Germany into a mighty power and his ambition of conquering all of Europe. You may have heard that he killed Jews. But Nazism was not one or two isolated acts. It was a system, a structure of ideas about the world and politics. Let us try and understand what Nazism was all about. Let us see why Helmuth’s father killed himself and what the basis of his fear was. In May 1945, Germany surrendered to the Allies. Anticipating what was coming, Hitler, his propaganda minister Goebbels and his entire family committed suicide collectively in his Berlin bunker in April. At the end of the war, an International Military Tribunal at Nuremberg was set up to prosecute Nazi war criminals for Crimes against Peace, for War Crimes and Crimes Against Humanity. Germany’s conduct during the war, especially those actions which
 Although Helmuth may not have realised all that it meant, his father had been a Nazi and a supporter of Adolf Hitler. Many of you will know something about the Nazis and Hitler. You probably know of Hitler’s determination to make Germany into a mighty power and his ambition of conquering all of Europe. You may have heard that he killed Jews. But Nazism was not one or two isolated acts. It was a system, a structure of ideas about the world and politics. Let us try and understand what Nazism was all about. Let us see why Helmuth’s father killed himself and what the basis of his fear was. In May 1945, Germany surrendered to the Allies. Anticipating what was coming, Hitler, his propaganda minister Goebbels and his entire family committed suicide collectively in his Berlin bunker in April. At the end of the war, an International Military Tribunal at Nuremberg was set up to prosecute Nazi war criminals for Crimes against Peace, for War Crimes and Crimes Against Humanity. Germany’s conduct during the war, especially those actions which
 New words Allies – The Allied Powers were initially led by the UK and France. In 1941 they were joined by the USSR and USA. They fought against the Axis Powers, namely Germany, Italy and Japan.
 Fig.1 – Hitler (centre) and Goebbels (left) leaving after an official meeting, 1932.
 Fig.1 – Hitler (centre) and Goebbels (left) leaving after an official meeting, 1932.
 "
What was Nazism?,"It was a system introduced by Hitler, which had a structure of ideas about the world and politics.","Hitler devised a new style of politics. He understood the significance of rituals and spectacle in mass mobilisation. Nazis held massive rallies
 "
Which tribunal was set up after world war II to punish the Nazis for their crime against humanity?,International Military Tribunal,"Judiciary
 Executive
 Judge
 Judge
 "
What was ‘Genocidal war’?,It was a war which resulted in the mass murder of selected groups of innocent civilians of Europe.,"came to be called Crimes Against Humanity, raised serious moral and ethical questions and invited worldwide condemnation. What were these acts? Under the shadow of the Second World War, Germany had waged a genocidal war, which resulted in the mass murder of selected groups of innocent civilians of Europe. The number of people killed included 6 million Jews, 200,000 Gypsies, 1 million Polish civilians, 70,000 Germans who were considered mentally and physically disabled, besides innumerable political opponents. Nazis devised an unprecedented means of killing people, that is, by gassing them in various killing centres like Auschwitz. The Nuremberg Tribunal sentenced only eleven leading Nazis to death. Many others were imprisoned for life. The retribution did come, yet the punishment of the Nazis was far short of the brutality and extent of their crimes. The Allies did not want to be as harsh on defeated Germany as they had been after the First World War. Everyone came to feel that the rise of Nazi Germany could be partly traced back to the German experience at the end of the First World War.
 Jews remained the worst sufferers in Nazi Germany. Nazi hatred of Jews had a precursor in the traditional Christian hostility towards Jews. They had been stereotyped as killers of Christ and usurers.Until medieval times Jews were barred from owning land. They survived mainly through trade and moneylending. They lived in separately marked areas called ghettos. They were often persecuted through periodic organised violence, and expulsion from the land. However, Hitler’s hatred of Jews was based on pseudoscientific theories of race, which held that conversion was no solution to ‘the Jewish problem’. It could be solved only through their total elimination. From 1933 to 1938 the Nazis terrorised, pauperised and segregated the Jews, compelling them to leave the country. The next phase, 1939-1945, aimed at concentrating them in certain areas and eventually killing them in gas chambers in Poland.
 3.2 The Racial Utopia Under the shadow of war, the Nazis proceeded to realise their murderous, racial ideal. Genocide and war became two sides of the same coin. Occupied Poland was divided up. Much of north-western Poland was annexed to Germany. Poles were forced to leave their homes and properties behind to be occupied by ethnic Germans brought in from occupied Europe. Poles were then herded like 62 2020-21
 "
Name the peace treaty signed after World War–I.,It was called ‘Treaty of Versailles’.,"This republic, however, was not received well by its own people largely because of the terms it was forced to accept after Germany’s defeat at the end of the First World War. The peace treaty at
 Versailles with the Allies was a harsh and humiliating peace. Germany lost its overseas colonies, a tenth of its population, 13 per cent of its territories, 75 per cent of its iron and 26 per cent of its coal to France, Poland, Denmark and Lithuania. The Allied Powers demilitarised Germany to weaken its power. The War Guilt Clause held Germany responsible for the war and damages the Allied countries suffered. Germany was forced to pay compensation amounting to £6 billion. The Allied armies also occupied the resource-rich Rhineland for much of the 1920s. Many Germans held the new Weimar Republic responsible for not only the defeat in the war but the disgrace at Versailles.
 Versailles with the Allies was a harsh and humiliating peace. Germany lost its overseas colonies, a tenth of its population, 13 per cent of its territories, 75 per cent of its iron and 26 per cent of its coal to France, Poland, Denmark and Lithuania. The Allied Powers demilitarised Germany to weaken its power. The War Guilt Clause held Germany responsible for the war and damages the Allied countries suffered. Germany was forced to pay compensation amounting to £6 billion. The Allied armies also occupied the resource-rich Rhineland for much of the 1920s. Many Germans held the new Weimar Republic responsible for not only the defeat in the war but the disgrace at Versailles.
 November 9, 1918 Germany capitulates, ending the war.
 trying to mobilise different sections of the population?
 November 9, 1918 Proclamation of the Weimar Republic.
 "
Who were called ‘November Criminals’?,"Those who supported the Weimer Republic mainly Socialists, Catholics and Democrats were mockingly called the ‘November Criminals’.","as a political opponent of the Nazi regime
 "
What happened when Germany refused to pay war reparation to France?,"In 1923, Germany refused to pay. The French occupied its leading industrial area, Ruhr, to claim their coal.","Political radicalisation was only heightened by the economic crisis of 1923. Germany had fought the war largely on loans and had to pay war reparations in gold. This depleted gold reserves at a time resources were scarce. In 1923 Germany refused to pay, and the French occupied its leading industrial area, Ruhr, to claim their coal. Germany retaliated with passive resistance and printed paper currency recklessly. With too much printed money in circulation, the value of the German mark fell. In April the US dollar was equal to 24,000 marks, in July 353,000 marks, in August 4,621,000 marks and at
 "
Why the value of German currency ‘mark’ fell?,"When French occupied Ruhr area, Germany retaliated with passive resistance and printed paper currency recklessly. With too much printed money in circulation, the value of the German mark fell.","Political radicalisation was only heightened by the economic crisis of 1923. Germany had fought the war largely on loans and had to pay war reparations in gold. This depleted gold reserves at a time resources were scarce. In 1923 Germany refused to pay, and the French occupied its leading industrial area, Ruhr, to claim their coal. Germany retaliated with passive resistance and printed paper currency recklessly. With too much printed money in circulation, the value of the German mark fell. In April the US dollar was equal to 24,000 marks, in July 353,000 marks, in August 4,621,000 marks and at
 "
What does ‘Hyperinflation’ mean? ,It’s a situation when prices rise phenomenally high.,"98,860,000 marks by December, the figure had run into trillions. As the value of the mark collapsed, prices of goods soared. The image of Germans carrying cartloads of currency notes to buy a loaf of bread was widely publicised evoking worldwide sympathy. This crisis came to be known as hyperinflation, a situation when prices rise phenomenally high. Eventually, the Americans intervened and bailed Germany out of the crisis by introducing the Dawes Plan, which reworked the terms of reparation to ease the financial burden on Germans.
 "
What was ‘Article 48’ of Weimer Republic?,"It gave the President the powers to impose emergency, suspend civil rights and rule by decree.","Faced with the power of his revolting subjects, Louis XVI finally accorded recognition to the National Assembly and accepted the principle that his powers would from now on be checked by a constitution. On the night of 4 August 1789, the Assembly passed a decree abolishing the feudal system of obligations and taxes. Members of the clergy too were forced to give up their privileges. Tithes were abolished and lands owned by the Church were confiscated. As a result, the government acquired assets worth at least 2 billion livres.
 "
Who was Hitler?,"Hitler was born in 1889 in Austria, spent his youth in poverty. When the World War I broke out, he enrolled for army, acted as a messenger in the front, became a corporal and earned medals for bravery.","2 Hitler’s Rise to Power This crisis in the economy, polity and society formed the background to Hitler’s rise to power. Born in 1889 in Austria, Hitler spent his youth in poverty. When the First World War broke out, he enrolled for the army, acted as a messenger in the front, became a corporal, and earned medals for bravery. The German defeat horrified him and the Versailles Treaty made him furious. In 1919, he joined a small group called the German Workers’ Party. He subsequently took over the organisation and renamed it the National Socialist German Workers’ Party. This party came to be known as the Nazi Party.
 "
"Under which situation, Nazi Propaganda was appreciated?","After 1929, banks collapsed and businesses shut down, workers lost their jobs and the middle classes were threatened with destitution. In such a situation Nazi propaganda won people’s hearts.","The years between 1924 and 1928 saw some stability. Yet this was built on sand. German investments and industrial recovery were totally dependent on short-term loans, largely from the USA. This support was withdrawn when the Wall Street Exchange crashed in 1929. Fearing a fall in prices, people made frantic efforts to sell their shares. On one single day, 24 October, 13 million shares were sold. This was the start of the Great Economic Depression. Over the next three years, between 1929 and 1932, the national income of the USA fell by half. Factories shut down, exports fell, farmers were badly hit and speculators withdrew their money from the market. The effects of this recession in the US economy were felt worldwide.
 Fig.5 – Homeless men queuing up for a night’s shelter, 1923.
 The German economy was the worst hit by the economic crisis. By 1932, industrial production was reduced to 40 per cent of the 1929 level. Workers lost their jobs or were paid reduced wages. The number of unemployed touched an unprecedented 6 million. On the streets of Germany you could see men with placards around their necks saying, ‘Willing to do any work’. Unemployed youths played cards or simply sat at street corners, or desperately queued up at the local employment exchange. As jobs disappeared, the youth took to criminal activities and total despair became commonplace. The economic crisis created deep anxieties and fears in people. The middle classes, especially salaried employees and pensioners, saw their savings diminish when the currency lost its value. Small businessmen, the self-employed and retailers suffered as their New words Wall Street Exchange – The name of the world’s biggest stock exchange located in the USA.
 In 1923, Hitler planned to seize control of Bavaria, march to Berlin and capture power. He failed, was arrested, tried for treason, and later released. The Nazis could not effectively mobilise popular support till the early 1930s. It was during the Great Depression that Nazism became a mass movement. As we have seen, after 1929, banks collapsed and businesses shut down, workers lost their jobs and the middle classes were threatened with destitution. In such a situation Nazi propaganda stirred hopes of a better future. In 1928, the Nazi Party got no more than 2. 6 per cent votes in the Reichstag – the German parliament. By 1932, it had become the largest party with 37 per cent votes.
 "
What promise was made by Hitler to the people as a leader of Germany?,"He promised to build a strong nation, undo the injustices of the Treaty of Versailles and restore the dignity of the German people.","Hitler was a powerful speaker. His passion and his words moved people. He promised to build a strong nation, undo the injustice of the Versailles Treaty and restore the dignity of the German people. He promised employment for those looking for work, and a secure future for the youth. He promised to weed out all foreign influences and resist all foreign ‘conspiracies’ against Germany.
 "
How Nazis projected Hitler?,"Nazi propoganda skilfully projected Hitler as a messiah, a saviour, as someone who had arrived to relieve people from their distress.","Hitler devised a new style of politics. He understood the significance of rituals and spectacle in mass mobilisation. Nazis held massive rallies
 Nazi propaganda skilfully projected Hitler as a messiah, a saviour, as someone who had arrived to deliver people from their distress. It is an image that captured the imagination of a people whose sense of dignity and pride had been shattered, and who were living in a time of acute economic and political crises.
 Nazi propaganda skilfully projected Hitler as a messiah, a saviour, as someone who had arrived to deliver people from their distress. It is an image that captured the imagination of a people whose sense of dignity and pride had been shattered, and who were living in a time of acute economic and political crises.
 "
How Hitler started dismantling democratic rule in Germany?,A mysterious fire that broke out in the German Parliament building in February facilitated the move of Hitler.,"In 1923, Hitler planned to seize control of Bavaria, march to Berlin and capture power. He failed, was arrested, tried for treason, and later released. The Nazis could not effectively mobilise popular support till the early 1930s. It was during the Great Depression that Nazism became a mass movement. As we have seen, after 1929, banks collapsed and businesses shut down, workers lost their jobs and the middle classes were threatened with destitution. In such a situation Nazi propaganda stirred hopes of a better future. In 1928, the Nazi Party got no more than 2. 6 per cent votes in the Reichstag – the German parliament. By 1932, it had become the largest party with 37 per cent votes.
 New words
 Fig.7 – Hitler being greeted at the Party Congress in Nuremberg in 1938.
 2.1 The Destruction of Democracy On 30 January 1933, President Hindenburg offered the Chancellorship, the highest position in the cabinet of ministers, to Hitler. By now the Nazis had managed to rally the conservatives to their cause. Having acquired power, Hitler set out to dismantle the structures of democratic rule. A mysterious fire that broke out in the German Parliament building in February facilitated his move. The Fire Decree of 28 February 1933 indefinitely suspended civic rights like freedom of speech, press and assembly that had been guaranteed by the Weimar constitution. Then he turned on his archenemies, the Communists, most of whom were hurriedly packed off to the newly established concentration camps. The repression of the Communists was severe. Out of the surviving 6,808 arrest files of Duesseldorf, a small city of half a million population, 1,440 were those of Communists alone. They were, however, only one among the 52 types of victims persecuted by the Nazis across the country.
 "
